eid,title,bucket,new_decision,reason_category
2-s2.0-105024140128,Energy harvest and daylighting performance of dynamic photovoltaic shading system-a comparison study in various climate zones of China,control_of_static,exclude,facade_no_movement
2-s2.0-105039786699,Wind-driven rain mitigation effects of building facade shading systems: insights from comparative field measurements,static_other,exclude,facade_no_movement
2-s2.0-105038814362,Green facades and building energy performance: a multi-climate perspective,static_other,exclude,facade_no_movement
2-s2.0-105037440667,Climate-responsive envelope design for educational buildings: A comparative simulation study between the UK and Egypt,static_other,exclude,facade_no_movement
2-s2.0-105036251755,Impacts of balconies on air quality within idealized building array: CFD modelling with solar radiation,static_other,exclude,facade_no_movement
2-s2.0-105034360495,"Predicting emotional impact of adaptive façades through Machine Learning, A VR-based study with PAD assessment",static_other,exclude,facade_no_movement
2-s2.0-105032701225,Sequential Multi-Objective Optimization and Post-optimization Sensitivity Analysis of Light Shelf Variables in Semi-Arid Climates,control_of_static,exclude,facade_no_movement
2-s2.0-105026452555,Hourly solar irradiance estimation and building-surface solar potential assessment via remote sensing and machine learning for data-scarce mountainous regions,movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-105031629892,Real-time monitoring of grinding wheel using a dynamic envelope model,movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-105035388547,3D façade geometry as a dual passive control in hot urban canyons: reducing street MRT and cooling loads,movable_possible->include,include,
2-s2.0-105035055152,Climate-adaptive energy performance of green facades in a composite climate,static_other,exclude,facade_no_movement
2-s2.0-105037816760,Biomimetic Design of a Climate-Responsive Building Envelope Cell Performing Under Both Hot and Cold Weather Conditions,static_other,exclude,facade_no_movement
2-s2.0-105036503017,Artificial Intelligence-Driven Adaptive Facade Systems in High-Rise Buildings: A Study on Integrating Machine Learning With Real-Time Environmental Data to Optimize Energy Efficiency,control_of_static,exclude,facade_no_movement
2-s2.0-105031895975,Design development and characterization of thermotropic façade system with honeycomb construction,not_facade_other,exclude,not_facade
2-s2.0-105037547057,Revealing walking experiences for shading based gendered perceptions of thermal comfort in a hot city,static_other,exclude,facade_no_movement
2-s2.0-105031172632,RHpT: Bioclimatic framework for passive climate-adaptive bio-façades in urban contexts,movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-105038552379,Research on the Impact of Transition Space on the Optimization of Thermal Environment in Community Elderly Indoor Activity Spaces,static_other,exclude,facade_no_movement
2-s2.0-105033239035,Surrogate model-based design optimization of modular façades under multifunctional scenarios,static_other,exclude,facade_no_movement
2-s2.0-105031735170,Adaptive photonic films for fenestration-integrated PV technology to enhance energy saving and thermal comfort: Concept and theoretical investigation,movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-105034725653,Drying process in a 3D-printed multilayer wall system: An experimental and numerical analysis,vent_breathing,exclude,facade_no_movement
2-s2.0-105029653511,Bio-jaali: Reimagining vernacular passive cooling screens with mycelium-based composites,static_other,exclude,facade_no_movement
2-s2.0-105024445764,Algorithmic replication of macramé techniques: bridging analog movements with computational design,static_other,exclude,facade_no_movement
2-s2.0-105036811313,"Wind-Sound Synergy and Fractal Design: Intelligent, Adaptive Acoustic Façades for High-Performance, Climate-Responsive Buildings",movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-105033816142,BIM-BES-based energy performance simulation of library-type buildings considering cold winter/hot summer climate regime with passive strategies,static_other,exclude,facade_no_movement
2-s2.0-105029367098,A Non-Invasive stacked ensemble framework with shadow correction for Cost-Effective daylight illuminance prediction in buildings,control_of_static,exclude,facade_no_movement
2-s2.0-105037088748,Dynamic Optimisation of Façade-Integrated Solar Cooling Elements: Adsorption Cooling Versus Photovoltaic Scenarios,static_other,exclude,facade_no_movement
2-s2.0-105035974577,The Impact of Material on Environmental Indicators: An LCA Analysis of 30 Variants of Pitched Roofs,static_other,exclude,facade_no_movement
2-s2.0-105029407767,Improved superhydrophobic surface for new phase-change thermal diode in building thermal management,pcm_thermal,exclude,facade_no_movement
2-s2.0-105028922736,Performance optimization of parametric hexagonal façade openings for natural ventilation and cooling load reduction in high-rise buildings,static_other,exclude,facade_no_movement
2-s2.0-105027279474,Integrating greenery systems and active insulation into adaptive building envelopes for enhanced sustainability and thermal resilience,static_other,exclude,facade_no_movement
2-s2.0-105034142621,Challenging the Biomimetic Promise 2.0: Negative Spillover of Bio-Inspired Versus Sustainability Framing on Public Perceptions of Bio-Inspired Technologies,static_other,exclude,facade_no_movement
2-s2.0-105033891051,Dynamic performance of façade systems during lifting and transportation in prefabricated modules,static_other,exclude,facade_no_movement
2-s2.0-105026129649,Optimizing building integrated photovoltaic facades: A parametric approach for enhanced energy efficiency and daylighting performance,static_other,exclude,facade_no_movement
2-s2.0-105032665560,A Performance-Based Methodology for Retrofitting Buildings Guided by Visual Comfort,static_other,exclude,facade_no_movement
2-s2.0-105032667262,Integrating Generative Design and Artificial Intelligence for Optimized Energy-Efficient Composite Facades in Next-Generation Smart Buildings,static_other,exclude,facade_no_movement
2-s2.0-105025372668,"Optimizing building energy efficiency through microalgae façades: impact of cell density, biomass, and panel thickness on solar heat gain and light transmittance",static_other,exclude,facade_no_movement
2-s2.0-105030716921,Energy savings from the shading performance of devices in highly glazed multi-story office buildings in the tropical climates of China and India,static_other,exclude,facade_no_movement
2-s2.0-105030437657,Iterative digital elevation model optimization via ray tracing and multiscale dynamic shape-from-shading reconstruction,not_facade_other,exclude,not_facade
2-s2.0-105030025564,Sustainable Urban Planning for High-Rise Residential Complexes Using an Adaptive Facade System,movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-105031363848,Evaluation of the Annual Power Generation Characteristics and Energy Efficiency of Sun-Tracking Photovoltaic Windows in the Hangzhou Area,static_other,exclude,facade_no_movement
2-s2.0-105031493650,A Conceptual Framework for Pollution-Resilient Aluminium Façades: Introducing the Pollution Degradation Modifier (PDM),static_other,exclude,facade_no_movement
2-s2.0-105031427646,From Biomimicry to Climate-Responsive Architecture: Prioritizing Bio-Based and Bio-Inspired Strategies for Sustainable Buildings in Tropical Monsoon Climates,static_other,exclude,facade_no_movement
2-s2.0-105023821177,Learning personalized visual comfort: A data-driven adaptive shading control framework using artificial intelligence,static_other,exclude,facade_no_movement
2-s2.0-105031380734,Envelope Retrofitting by Building-Integrated Agricultural Greenhouses: A Multi-Objective Form Optimisation Procedure,movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-105024887111,Mitigation effects of building facade buffer zones on wind-driven rain: Insights from field measurements,static_other,exclude,facade_no_movement
2-s2.0-105033382870,Effects of building façade architectural design elements on thermal comfort and energy efficiency,static_other,exclude,facade_no_movement
2-s2.0-105021472577,Evaluating permeable pavements' impact on the thermal environment in street canyons through outdoor experiments under hot and humid background climate,static_other,exclude,facade_no_movement
2-s2.0-105022661726,Assessing cooling–lighting trade-offs in a low-income Jordanian housing archetype under climate change and heat waves,static_other,exclude,facade_no_movement
2-s2.0-105022288003,Effects of building shading on outdoor adaptive thermal comfort and the development of predictive models,static_other,exclude,facade_no_movement
2-s2.0-105038570681,Advancing Simulation Tools: Adaptive Façades for Building Decarbonization,static_other,exclude,facade_no_movement
2-s2.0-105009429618,Performance optimization of an office building with a dynamic façade system,static_other,exclude,facade_no_movement
2-s2.0-105028162151,Vehicle integrated photovoltaics module architecture optimization under dynamic shading,static_other,exclude,facade_no_movement
2-s2.0-105035721791,Dynamic Ventilated Façades for Lightweight Buildings: A Strategy for Mitigating Overheating,vent_breathing,exclude,facade_no_movement
2-s2.0-105021080659,Smart Readiness Indicator metric for building envelope structures,static_other,exclude,facade_no_movement
2-s2.0-105028619059,Assessment and Numerical Modeling of the Thermophysical Efficiency of Newly Developed Adaptive Building Envelopes Under Variable Climatic Impacts,static_other,exclude,facade_no_movement
2-s2.0-105034853758,Emerging Applications of Conducting Polymer in Modern Architecture,static_other,exclude,facade_no_movement
2-s2.0-105018669060,Energy performance and optimal design of three typical dynamic photovoltaic façade systems for office buildings in hot-summer- cold-winter climate zone,static_other,exclude,facade_no_movement
2-s2.0-105031576063,Integrated two-stage optimization of façade adaptation and renewable systems for indoor comfort in NZEBs,control_of_static,exclude,facade_no_movement
2-s2.0-105031866483,A data-driven multi-objective optimization to tailor the impact of orientation on cooling loads of residential building in hot climate,movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-105028227685,Architectural swarms for responsive façades and creative expression,movable_possible->include,include,
2-s2.0-105030534261,From nature to structure: advancing building efficiency with biomimicry-inspired green façades,static_other,exclude,facade_no_movement
2-s2.0-105034407954,"Optimising thermal performance of steel façades through self-shading: Calibration, sensitivity analysis, and climatic implications",static_other,exclude,facade_no_movement
2-s2.0-105031747480,Climate Responsive Form and Facade Design for Educational Spaces to Achieve Net-Zero Energy Building in Dhaka,static_other,exclude,facade_no_movement
2-s2.0-105035175870,Integrated IFC Protocols for Sustainable Conservation and Energy Efficiency of Historic Buildings,static_other,exclude,facade_no_movement
2-s2.0-105035611869,Spatial–Angular Distribution of Aerodynamic Coefficients and Static Pressure on Residential Building Facades Under Wind Flow,static_other,exclude,facade_no_movement
2-s2.0-105020939510,A variable thermal transmittance adaptive wall: comparison between CFD simulations and experimental tests,static_other,exclude,facade_no_movement
2-s2.0-105029422297,Response mechanisms between daylighting performance and skylight design variables in underground public spaces,static_other,exclude,facade_no_movement
2-s2.0-105032234655,Designing more-than-human thermal comfort: bio-inspired evaporative cooling in porous facade components for cavity-nesting wild bees,static_other,exclude,facade_no_movement
2-s2.0-105026583740,Integrating Carbon Sink and Recycled Materials into Modular Façade Systems,static_other,exclude,facade_no_movement
2-s2.0-105036712690,Research on Visual Comfort Performance Control of Smart Shading Blinds Based on Dynamic Programming Algorithm,control_of_static,exclude,facade_no_movement
2-s2.0-105035885691,Out-Of-Plane Dynamic Analysis of Masonry Façades Interacting with Sidewalls: Comparison of Discrete Macro-Element and Rigid-Block Modelling,static_other,exclude,facade_no_movement
2-s2.0-105019519369,Research on Dynamic Envelope Calculation and Application of Metro Engineering Vehicles,static_other,exclude,facade_no_movement
2-s2.0-105035815215,Natural flavonoids inhibit plasmid conjugation via iron chelation and zinc-responsive envelope stress,static_other,exclude,facade_no_movement
2-s2.0-85164492932,The Lost Kinetic Architecture and How to Reintroduce it in the Landscape–The Case Study of the Drainage Windmills in the Vistula Delta,not_facade_other,exclude,not_facade
2-s2.0-105027185422,Kinetic Energy Harvesting from Human Footsteps: An Insight into Modern Architecture’s Response to Energy Conservation,not_facade_other,exclude,not_facade
2-s2.0-105014520687,Real-time adaptive algae bioreactor facades: a novel method for dynamic daylight and thermal efficiency optimization in buildings,control_of_static,exclude,facade_no_movement
2-s2.0-105029057963,SYSTEM SAFETY OF FAÇADE SCAFFOLDING: ACHIEVING ACCEPTABLE DYNAMIC PERFORMANCE THROUGH ANCHORAGE AND BRACING DESIGN,control_of_static,exclude,facade_no_movement
2-s2.0-105024465578,Joint Detection and Parameters Regression of Detailed Windows based on Facade Textures via an Adaptive Soft Teacher,static_other,exclude,facade_no_movement
2-s2.0-105025419780,Performance evaluation of an IoT-based smart double-skin façade system for indoor thermal comfort improvement in summer based on field experiment findings,dsf_static,exclude,facade_no_movement
2-s2.0-105016222839,Climate-resilient office buildings: Energy and comfort in japan's future (2090s),static_other,exclude,facade_no_movement
2-s2.0-85218501351,"Determinants of urban agriculture and green infrastructure integration in Bahir Dar City, Northwest Ethiopia",static_other,exclude,facade_no_movement
2-s2.0-105027948341,Analysis of the Effectiveness of Shading Systems in Ensuring Quality Daylighting in Gallery Spaces – Case Study,static_other,exclude,facade_no_movement
2-s2.0-105024979604,Designing Adaptive and Self-Responsive Structures,not_facade_other,exclude,not_facade
2-s2.0-105019742966,A field-based evaluation of blackboard visibility in daylit classrooms,static_other,exclude,facade_no_movement
2-s2.0-105018641167,Field monitoring and numerical analysis of thermal behavior of the National Stadium under solar radiation,not_facade_other,exclude,not_facade
2-s2.0-105013586180,AI-driven control algorithm using machine learning and genetic optimization for enhancing visual comfort in adaptive façades,static_other,exclude,facade_no_movement
2-s2.0-105023077255,A Framework for Optimizing Biomimetic Opaque Ventilated Façades Using CFD and Machine Learning,static_other,exclude,facade_no_movement
2-s2.0-105023107174,A Customer-Oriented Holistic Approach to Solar Shading Design: Enhancing Efficiency in an Existing Educational Building,movable_possible->include,include,
2-s2.0-105023120949,OPTIMIZATION OF LIGHTING SYSTEMS FOR INCREASING ENERGY EFFICIENCY OF PUBLIC BUILDINGS,static_other,exclude,facade_no_movement
2-s2.0-105012275280,Navigating the built environment energy transition in the Netherlands: A tool for energy-oriented design and planning,static_other,exclude,facade_no_movement
2-s2.0-105022886237,The Adaptive Block: Passive Cooling Adaptation Strategies for Urban Resilience,static_other,exclude,facade_no_movement
2-s2.0-105020925192,"An incremental, thermally optimised, and low-carbon shelter model for refugee housing in diverse climates",movable_possible->include,include,
2-s2.0-105013366575,Enhancing thermal performance of subtropical low-income housing through passive and behaviour-guided adaptive design,static_other,exclude,facade_no_movement
2-s2.0-105010478985,Utilizing a three-zone control model of adaptive concentrating photovoltaic facade to enhance visual comfort and energy benefits,control_of_static,exclude,facade_no_movement
2-s2.0-105012617905,Model-free online reinforcement learning control for responsive building envelope,control_of_static,exclude,facade_no_movement
2-s2.0-105020022788,Intelligent Segmentation of Urban Building Roofs and Solar Energy Potential Estimation for Photovoltaic Applications,static_other,exclude,facade_no_movement
2-s2.0-105017812952,Modeling and simulation-based performance study of a DC-DC power processing circuit for building-attached photovoltaic systems,control_of_static,exclude,facade_no_movement
2-s2.0-105025487653,Building Envelope,insufficient_info,exclude,insufficient_info
2-s2.0-105007061909,Optimizing bio-inspired macro-structures for enhanced thermal efficiency in multi-skin facade buildings,static_other,exclude,facade_no_movement
2-s2.0-105008441616,"A novel method for simulating dynamic facades to analysing, and optimizing daylight and visual comfort in office buildings",static_other,exclude,facade_no_movement
2-s2.0-105004414522,"Design of Building-Installed PV system, with consideration given to the size and position of the building",static_other,exclude,facade_no_movement
2-s2.0-105008873289,livMatS biomimetic shell: Structural advancements of segmented timber shells towards permanent building constructions,static_other,exclude,facade_no_movement
2-s2.0-105010013654,Application of a Dynamic Semitransparent Agrivoltaic Panel for Controlling Sunlight Allocation to Solar Cells and Crops,movable_possible->include,include,
2-s2.0-105010124010,Vertical greenery as natural shading of glass facades: Bioshading coefficients for 4 climbing plant species for assessment of shading performance,static_other,exclude,facade_no_movement
2-s2.0-105014418071,Climate-Responsive Envelope Retrofit Strategies for Aged Residential Buildings in China Across Five Climate Zones,static_other,exclude,facade_no_movement
2-s2.0-105011854535,Biomimetic Opaque Ventilated Façade for Low-Rise Buildings in Hot Arid Climate,vent_breathing,exclude,facade_no_movement
2-s2.0-105010701100,"Future climate impacts on urban office Buildings: Energy, comfort, and passive solutions in Osaka, Japan",static_other,exclude,facade_no_movement
2-s2.0-105003811207,Biomimetic self-shading walls via 3D-printing for reduced heat gain: Multiscale learning using graph neural networks to predict solar radiation absorption,static_other,exclude,facade_no_movement
2-s2.0-105000918728,"Optimal daylighting design for standard photopic and melanopic equivalent daylight illuminance, and glare minimization in Tehran classrooms",static_other,exclude,facade_no_movement
2-s2.0-105005767296,Dynamic mechanical properties of nanoparticle-stabilized foam concrete (NFC),static_other,exclude,facade_no_movement
2-s2.0-105005200552,Maximizing energy harvesting in grid-connected hybrid photovoltaic and thermoelectric generator systems: An adaptive global power tracking technique,control_of_static,exclude,facade_no_movement
2-s2.0-105003802281,Achieving operational synergy between different adaptive façade technologies,control_of_static,exclude,facade_no_movement
2-s2.0-85200678485,From theory to practice: Truchet tile as a computational visual coding approach for facade visualization,movable_possible->include,include,
2-s2.0-86000790700,Design optimization of climate-responsive rural residences in solar rich areas considering sustainability and occupant comfort,static_other,exclude,facade_no_movement
2-s2.0-85216645086,A method for achieving optimal thermal performance of adaptive opaque facades based on monthly loads across China,control_of_static,exclude,facade_no_movement
2-s2.0-85217060741,Investigation of climate-adaptive thermal effects of a double-sided hydronic loop embedded in an opaque building envelope,static_other,exclude,facade_no_movement
2-s2.0-85218992312,An advanced numerical model for dynamic daylight and energy consumption analysis of thermal-responsive complex fenestration system with adaptive solar absorption,chromogenic,exclude,facade_no_movement
2-s2.0-85218637971,Comprehensive impact of two advanced thermotropic façades designs on building daylight and energy performance,chromogenic,exclude,facade_no_movement
2-s2.0-105004839203,"Energy-Efficient Design of Immigrant Resettlement Housing in Qinghai: Solar Energy Utilization, Sunspace Temperature Control, and Envelope Optimization",static_other,exclude,facade_no_movement
2-s2.0-105007689472,Utilizing Adaptive Glass and Materials in Smart Window Design to Improve Thermal Performance of Buildings in Hot Climates,static_other,exclude,facade_no_movement
2-s2.0-86000784109,"Suitable transition temperature on thermo-adaptive reflectance for opaque facades: Influence of climate, solar orientation, and facade material",static_other,exclude,facade_no_movement
2-s2.0-105006846399,Developing an Alternative Calculation Method for the Smart Readiness Indicator Based on Genetic Programming and Linear Regression,static_other,exclude,facade_no_movement
2-s2.0-105003555631,The Importance of Renovation and Renewable Energies for Carbon Neutral Building,static_other,exclude,facade_no_movement
2-s2.0-105002285610,Dynamic Integration of Shading and Ventilation: Novel Quantitative Insights into Building Performance Optimization,static_other,exclude,facade_no_movement
2-s2.0-85214140676,Experimental study on harnessing torsion-induced buckling of frames for adaptive shading modules,movable_possible->insufficient_info,exclude,insufficient_info
2-s2.0-105001572160,Comprehensive performance analysis of semitransparent CdTe PV windows in static and dynamic facades: A real ship case study,static_other,exclude,facade_no_movement
2-s2.0-105001327613,"Space-Containing Façades: Mediating Environmental, Social, and Urban Dynamics in Collective Housing Design",static_other,exclude,facade_no_movement
2-s2.0-86000285490,Machine Learning for Adaptive Facade Design: Enhancing Thermal Performance in Urban Architecture,static_other,exclude,facade_no_movement
2-s2.0-105001114046,Design Optimization Approach for Residential Outdoor Environments Based on Seasonal Variations in Local Thermal Perception,static_other,exclude,facade_no_movement
2-s2.0-105006666309,EVOLVING TENSEGRITY FAÇADE SYSTEMS: COMPUTATIONAL MORPHOGENESIS THROUGH MULTI-STEP OPTIMIZATION AND DIGITAL FABRICATION OF STRUCTURAL MODULES,static_other,exclude,facade_no_movement
2-s2.0-105001124707,Enhancing Daylight and Energy Efficiency in Hot Climate Regions with a Perforated Shading System Using a Hybrid Approach Considering Different Case Studies,static_other,exclude,facade_no_movement
2-s2.0-86000503421,A Smart Roller Shutters Control for Enhancing Thermal Comfort and Sustainable Energy Efficiency in Office Buildings,control_of_static,exclude,facade_no_movement
2-s2.0-85215966151,Thermo-responsive hydrogel-based building envelopes for building energy-saving,static_other,exclude,facade_no_movement
2-s2.0-85217044784,Assessing the thermal performance of building walls containing eco-friendly composite materials: A combined numerical and simulation approach,static_other,exclude,facade_no_movement
2-s2.0-105001160974,Thermal Performance Evaluation of a Retrofitted Building with Adaptive Composite Energy-Saving Facade Systems,vent_breathing,exclude,facade_no_movement
2-s2.0-86000190113,Blind signal reconstruction for continuous-time photonic time-stretch analog-to-digital converters,static_other,exclude,facade_no_movement
2-s2.0-85218882604,Dynamic Envelope Optimization of Articulated Vehicles Based on Multi-Axle Steering Control Strategies,control_of_static,exclude,facade_no_movement
2-s2.0-85208399934,Experimental energy performance assessment of a smart controlled water-flow glazing adaptive facade in heating demand conditions,control_of_static,exclude,facade_no_movement
2-s2.0-105027941582,Performance assessment of an adaptive opaque façade technology across diverse European climates: Energy efficiency and thermal comfort improvements,control_of_static,exclude,facade_no_movement
2-s2.0-105023472535,A Predictive Model for Dynamic Facades' Daylight Performance using Multimodal Fusion Learning,control_of_static,exclude,facade_no_movement
