eid,doi,title,year,source,doctype,oa_concepts,stage1_decision,reason_category,method,signals
2-s2.0-105038431270,10.1038/s41598-026-44644-9,Comparing daylight performance of dynamic and static shadings in office façades across multiple U.S. cities with various sky conditions,2026,Scientific Reports,Article,Daylight:0.876; Shading:0.721; Sky:0.658; Environmental science:0.646; Illuminance:0.608; Noon:0.567; Meteorology:0.531; Sunlight:0.407,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:daylight; façade
2-s2.0-105035804991,10.1007/s44217-026-01426-9,Integrating dynamic façade design into architectural education and practice through Mashrabiya-inspired kinetic systems,2026,Discover Education,Article,Context (archaeology):0.634; Sustainability:0.615; Architectural engineering:0.495; Engineering:0.486; Cultural heritage:0.442; Architecture:0.435; Process (computing):0.415; Multidisciplinary approach:0.407,include,kinetic_facade,rule,strong:kinetic | soft:dynamic | bldg:architect; façade; mashrabiya
2-s2.0-105039523489,10.1007/s43621-026-03014-1,Genetic algorithm-based assessment of kinetic façade prototypes for energy optimization and user comfort: a hotel case study in Iran,2026,Discover Sustainability,Article,Daylight:0.664; Computer science:0.557; Energy consumption:0.489; Thermal comfort:0.463; Efficient energy use:0.45; Simulation:0.415; Genetic algorithm:0.412; GLARE:0.391,include,kinetic_facade,rule,strong:kinetic | bldg:daylight; façade; thermal comfort
2-s2.0-105036579469,10.1061/JAEIED.AEENG-2247,Optimizing Ventilation and Temperature Reduction in Administrative Buildings Using Kinetic Facade Systems: A Response Surface Methodology Approach,2026,Journal of Architectural Engineering,Article,Facade:0.904; Kinetic energy:0.647; Ventilation (architecture):0.575; Reduction (mathematics):0.554; Environmental science:0.479; Thermal:0.479; Response surface methodology:0.417; Energy consumption:0.412,include,kinetic_facade,rule,strong:kinetic | bldg:architect; building; facade
2-s2.0-105039829141,10.1016/j.autcon.2026.107051,3D-to-4D printing technologies in construction: Roadmap review of current status and potential applications,2026,Automation in Construction,Review,Current (fluid):0.651; Engineering:0.613; Systems engineering:0.48; Manufacturing engineering:0.45; Technology roadmap:0.382; Computer science:0.329; Engineering drawing:0.301; Electrical engineering:0.271,include,kinetic_facade,rule,strong:4d print | bldg:construction
2-s2.0-105039967513,10.1016/j.enbuild.2026.117682,"Systematic review of nanocoatings for building envelopes: thermal, radiative, and durability trends across materials and climatic contexts",2026,Energy and Buildings,Review,Durability:0.797; Engineering:0.418; Forensic engineering:0.35; Environmental science:0.347; Materials science:0.346; Engineering physics:0.309; Construction engineering:0.293; Architectural engineering:0.287,uncertain,facade_no_explicit_motion,ai,bldg:architect; building; construction
2-s2.0-105039813460,10.1016/j.enbuild.2026.117660,Optimization of thermally variable solar collection walls integrated with flat plate gravity heat pipes,2026,Energy and Buildings,Article,Variable (mathematics):0.598; Materials science:0.496; Thermal:0.414; Gravity force:0.401; Mechanics:0.394; Heat pipe:0.389; Solar energy:0.333; Passive solar building design:0.329,uncertain,building_generic,ai,bldg:building
2-s2.0-105024140128,10.1016/j.foar.2025.09.007,Energy harvest and daylighting performance of dynamic photovoltaic shading system-a comparison study in various climate zones of China,2026,Frontiers of Architectural Research,Article,Environmental science:0.705; Daylighting:0.686; Illuminance:0.669; Shading:0.656; Photovoltaic system:0.602; Daylight:0.545; Photovoltaics:0.512; Electricity generation:0.476,uncertain,soft_motion_facade,ai,soft:dynamic | bldg:daylight; shading system
2-s2.0-105038897769,10.1016/j.compeleceng.2026.111244,A novel reconfiguration approach to mitigate effect of static and dynamic shading on PV array,2026,Computers and Electrical Engineering,Article,Control reconfiguration:0.811; Shading:0.671; Photovoltaic system:0.632; Computer science:0.599; Electronic engineering:0.407; Real-time computing:0.361; Engineering:0.34; Control theory (sociology):0.326,exclude,PV_electrical,rule,PV_electrical:pv
2-s2.0-105039786699,10.1016/j.buildenv.2026.114752,Wind-driven rain mitigation effects of building facade shading systems: insights from comparative field measurements,2026,Building and Environment,Article,Facade:0.912; Shading:0.788; Environmental science:0.568; Remote sensing:0.548; Field (mathematics):0.52; Meteorology:0.419; Engineering:0.284; Marine engineering:0.267,uncertain,facade_no_explicit_motion,ai,bldg:building; facade; shading system
