eid,title,year,source,stage1_decision,reason_category,method,signals
2-s2.0-85204077555,Power and efficiency enhancement of solar photovoltaic power plants through grouped string voltage balancing approach,2024,Energy Conversion and Management X,exclude,PV_electrical,rule,PV_electrical:photovoltaic
2-s2.0-85047141653,Performance characteristics of miniature photovoltaic farm under dynamic partial shading,2018,Indonesian Journal of Electrical Engineering and Computer Science,exclude,PV_electrical,rule,PV_electrical:photovoltaic
2-s2.0-85165186940,Heliotropic Shading: Daylighting a Rare Books Reading Room with Electrochromic Glass and Parametric Analysis,2024,Leukos Journal of Illuminating Engineering Society of North America,exclude,optical_static,rule,optical:electrochrom
2-s2.0-105025402164,Adaptive intelligent PSO-Based MPPT technique for PV systems under dynamic irradiance and partial shading conditions,2025,International Journal of Power Electronics and Drive Systems,exclude,PV_electrical,rule,PV_electrical:mppt; pv
2-s2.0-33847284401,Shading algorithms for 3-d computer graphics,2005,Proceedings of 1st International Conference on Information and Communication Technology Icict 2005,exclude,medical_graphics,rule,medical_graphics:computer graphics
2-s2.0-85195284619,A reliable GTR-PLC approach for power enhancement and online monitoring of solar PV arrays during partial shading,2024,Energy,exclude,PV_electrical,rule,PV_electrical:pv
2-s2.0-84944183508,Exploiting content variation and perception in power-aware 3D graphics rendering,2001,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,exclude,medical_graphics,rule,medical_graphics:rendering
2-s2.0-85206576287,Research on Hybrid Approach for Maximum Power Point Tracking of Photovoltaic Systems under Various Operating Conditions,2024,Electronics Switzerland,exclude,PV_electrical,rule,PV_electrical:maximum power point; photovoltaic
2-s2.0-85020973499,"Skin, clothing, and dwelling: Max von Pettenkofer, the science of hygiene, and breathing walls",2016,Journal of the Society of Architectural Historians,exclude,thermal_static,rule,thermal:breathing wall
2-s2.0-84937598595,Dynamic analysis of satellite separation considering the flexibility of interface rings,2015,Proceedings of the Institution of Mechanical Engineers Part G Journal of Aerospace Engineering,exclude,aerospace_space,rule,aerospace_space:satellite
2-s2.0-105034380016,Multi-scale characterization of acacia gum as an alternative plant-based biopolymer binder for CO2 sequestering earthen soil composites,2026,Emergent Materials,exclude,ecology_agri,rule,ecology_agri:soil
2-s2.0-85181156252,Cost-effective photolithography-based dual liquid crystal alignment for versatile electro-optic applications,2024,Journal of Molecular Liquids,exclude,optical_static,rule,optical:liquid crystal
2-s2.0-105013504943,Influence of agrivoltaic system-induced microclimate modifications on wheat growth and yield,2025,Agricultural and Forest Meteorology,exclude,ecology_agri,rule,ecology_agri:agrivoltaic
2-s2.0-0033307892,Method of shading and shadowing in image-based rendering,1999,IEEE International Conference on Image Processing,exclude,medical_graphics,rule,medical_graphics:rendering
2-s2.0-85140404295,Optimal energy performance of dynamic sliding and insulated shades for residential buildings,2023,Energy,include,kinetic_facade,rule,strong:sliding | soft:dynamic | bldg:building; envelope; hvac
2-s2.0-85187205056,Kinetic module in bimetal: A biomimetic approach adapting the kinetic behavior of bimetal for adaptive Façades,2024,Materials and Design,include,kinetic_facade,rule,strong:kinetic | soft:adaptive; biomimetic | bldg:façade
2-s2.0-85202061046,REVIEW OF KINETIC SHADING SYSTEMS IN THE UAE; CHALLENGES AND OPPORTUNITIES,2017,Zemch International Conference,include,kinetic_facade,rule,strong:kinetic | bldg:shading system
2-s2.0-85069169883,Wind pressure analysis of movable shading by using cfd,2019,Proceedings of the Annual International Conference on Architecture and Civil Engineering,include,kinetic_facade,rule,strong:movable | bldg:journal
2-s2.0-85125500008,Bistable kinetic shades actuated with shape memory alloys: Prototype development and daylight performance evaluation,2022,Smart Materials and Structures,include,kinetic_facade,rule,strong:actuat; bistable; kinetic | bldg:daylight
2-s2.0-67649803259,Identifying criteria for the design of affective and socially engaging kinetic architectural structures,2007,Iet Conference Publications,include,kinetic_facade,rule,strong:kinetic | bldg:architect
2-s2.0-105002213128,Redefining walking: a bio-inspired kinetic architecture,2025,Architectural Engineering and Design Management,include,kinetic_facade,rule,strong:kinetic | soft:bio-inspired | bldg:architect
2-s2.0-0020221635,PERFORMANCE CALCULATIONS OF MOVABLE LOUVERS AND HEAT PIPES.,1982,undefined,include,kinetic_facade,rule,strong:movable | bldg:louver
2-s2.0-85151983532,Hygroscopy and adaptive architectural façades: an overview,2023,Wood Science and Technology,include,kinetic_facade,rule,strong:actuat | soft:adaptive | bldg:architect; façade
