eid,orig_doi,eff_doi,title,source,doctype,stage1_decision,publisher,abstract_status,abstract_len,abstract
2-s2.0-105038431270,10.1038/s41598-026-44644-9,10.1038/s41598-026-44644-9,Comparing daylight performance of dynamic and static shadings in office façades across multiple U.S. cities with various sky conditions,Scientific Reports,Article,uncertain,nature,ok,1727,"Shadings have a crucial role in daylight performance of buildings; however, their impact is dependent on both sky conditions and shading specifications. This study investigates the daylight performance of both dynamic shading systems and compares them with static shading at various rotation angles in a nearly fully glazed office unit. In addition to rotation angle, shading geometry and sky condition are examined to evaluate their combined impact on façade performance. The Hourly Useful Illuminance (HUI) metric is introduced to assess hourly illumination levels for three International Commission on Illumination sky types: sunny with sun, intermediate with sun, and cloudy. Simulations reveal that both dynamic and static shadings perform better under sunny skies than under intermediate ones, and both negatively affect daylight performance under cloudy conditions, with dynamic shadings showing greater superiority under sunny and intermediate skies. The superiority of dynamic shadings was greater in Las Vegas with a sunny sky; the difference of HUI between dynamic and static shadings is 4.5 for rectangular and 5.7 for triangular shadings. Rectangular geometries perform slightly better than triangular ones, though the difference is marginal. The study also determines optimum rotation angles for dynamic and static shadings and shows that as cloudiness increases, the range of effective rotation angles narrows. Additionally, analysis across multiple cities indicates that the decline in the useful illuminance level (HUI) at some time steps corresponds to changes in solar altitude and sky brightness, occurring around noon under sunny conditions and during midday and the summer season under intermediate skies."
2-s2.0-105035804991,10.1007/s44217-026-01426-9,10.1007/s44217-026-01426-9,Integrating dynamic façade design into architectural education and practice through Mashrabiya-inspired kinetic systems,Discover Education,Article,include,springer,ok,1464,"Purpose This research assesses the knowledge enhancement of students as a consequence of the integration of traditional architectural concepts and contemporary kinetic facades systems. The study has a special focus on adaptive envelopes, which are inspired by Mashrabiya, which is an element of Islamic architecture. Using a design-build approach within an educational action-research model, three groups of students brainstormed and physically constructed kinetic facade prototypes using both physical and digital tools such as cardboard, steel parts, Arduino microcontrollers, and stepper motors. The study created distinct conceptual models, based on Islamic geometric vocabularies, biomimetic patterns based on avian wing movement, and solar-responsive design principles. The prototypes that were assembled demonstrated a deep understanding of the traditional roles of Mashrabiya such as daylight control, privacy control, and natural ventilation alongside measurable technical values. It is important to note that one result obtained a reduction of up to 93% in solar penetration without losing visual connectivity. The paper presents a case-based pedagogical framework that promotes early exposure to performance-based facade design and provides practical advice to instructors who want to incorporate sustainability and culturally responsive kinetic systems in architectural education and professional practice, particularly in the Gulf Cooperation Council."
2-s2.0-105039523489,10.1007/s43621-026-03014-1,10.1007/s43621-026-03014-1,Genetic algorithm-based assessment of kinetic façade prototypes for energy optimization and user comfort: a hotel case study in Iran,Discover Sustainability,Article,include,springer,ok,2027,"Hotel buildings in hot-humid climates face complex design challenges due to continuous occupancy, diverse functional spaces, and high demands for energy efficiency and occupant comfort. This study investigated how kinetic façade systems can address these challenges by dynamically adapting to environmental conditions. Three façade prototypes—a hexagonal rotating panel system, a Rec-Tri Pro sliding system, and the Al Bahar design inspired by Islamic geometric principles—were modeled and evaluated using environmental simulation tools in Grasshopper (Ladybug and Honeybee). A multi-objective genetic algorithm (Octopus) was employed to perform more than 1800 simulation-based optimization runs. Performance was assessed using four indicators: Energy Use Intensity (EUI), Daylight Autonomy (DA), Discomfort Glare Probability (DGP), and Predicted Mean Vote (PMV). The results indicate that each façade system demonstrated distinct performance strengths. The Al Bahar configuration exhibited the most balanced overall performance, achieving high daylight autonomy (74.8%), controlled glare levels (DGP < 0.35), and stable thermal comfort (PMV ranging between − 0.1 and + 0.4). In contrast, the Rec-Tri system achieved the lowest optimized energy consumption (~ 104.8 kWh/m2). These conclusions are based on a comparative multi-criteria assessment rather than prioritizing a single performance indicator. This study proposed a replicable five-stage framework to support the early-stage design and optimization of responsive kinetic façades in hospitality buildings through integrated simulation and standardized comparative evaluation methods. Kinetic façades integrated with GA for climate-based hotel design optimization First study comparing Hexagon, Rec-Tri Pro, and Star façades in Sari's climate Rec-Tri Pro had lowest energy use intensity (~ 104.8 kWh/m2/year) Star prototype showed best daylight autonomy (~ 74.8%) and glare control (DGP ~ − 3.34) Hexagon prototype offered the most balanced performance among all metrics"
2-s2.0-105036579469,10.1061/JAEIED.AEENG-2247,10.1061/jaeied.aeeng-2247,Optimizing Ventilation and Temperature Reduction in Administrative Buildings Using Kinetic Facade Systems: A Response Surface Methodology Approach,Journal of Architectural Engineering,Article,include,asce,ok,599,"Using kinetic facade systems in administrative buildings enhances indoor environmental conditions inside the functional spaces of the building and simultaneously reduces energy consumption for ventilation; however, the optimal configuration parameters of the kinetic system for administrative buildings remain underexplored. Despite the increasing adoption of kinetic facade systems in administrative buildings to enhance thermal performance and reduce energy consumption, optimal configuration parameters remain underexplored, particularly regarding dynamic adjustment strategies during operational"
2-s2.0-105039829141,10.1016/j.autcon.2026.107051,10.1016/j.autcon.2026.107051,3D-to-4D printing technologies in construction: Roadmap review of current status and potential applications,Automation in Construction,Review,include,elsevier,missing,0,
2-s2.0-105039967513,10.1016/j.enbuild.2026.117682,10.1016/j.enbuild.2026.117682,"Systematic review of nanocoatings for building envelopes: thermal, radiative, and durability trends across materials and climatic contexts",Energy and Buildings,Review,uncertain,elsevier,missing,0,
2-s2.0-105039813460,10.1016/j.enbuild.2026.117660,10.1016/j.enbuild.2026.117660,Optimization of thermally variable solar collection walls integrated with flat plate gravity heat pipes,Energy and Buildings,Article,uncertain,elsevier,missing,0,
2-s2.0-105024140128,10.1016/j.foar.2025.09.007,10.1016/j.foar.2025.09.007,Energy harvest and daylighting performance of dynamic photovoltaic shading system-a comparison study in various climate zones of China,Frontiers of Architectural Research,Article,uncertain,elsevier,missing,0,
2-s2.0-105039786699,10.1016/j.buildenv.2026.114752,10.1016/j.buildenv.2026.114752,Wind-driven rain mitigation effects of building facade shading systems: insights from comparative field measurements,Building and Environment,Article,uncertain,elsevier,missing,0,
2-s2.0-105037745526,10.1016/j.energy.2026.141160,10.1016/j.energy.2026.141160,"Spatiotemporal dynamics of thermal comfort, energy consumption, and carbon emissions in climate-adaptive MPCMs used for building envelopes across 11 cities with continental climate",Energy,Article,uncertain,elsevier,missing,0,
