eid,title,to,reason
2-s2.0-105036579469,Optimizing Ventilation and Temperature Reduction in Administrative Buildings Using Kinetic Facade Systems: A Response Surface Methodology Approach,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105037762368,"Comprehensive evaluation of building energy load, power generation, and shading effects of vertical single-axis tracking PV louver systems",exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105024611275,Multi-objective optimization framework to achieve near-zero energy building in the Czech Republic for future climatic conditions,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105028592145,From greenwashing to grounded practice: A context-specific biophilic design framework for hot arid climates,related_review,"review/overview, not primary system"
2-s2.0-105027260676,Harnessing wind energy through responsive kinetic façades for sustainable building design,related_review,"review/overview, not primary system"
2-s2.0-105039709363,"Deep Reinforcement Learning–Based Multiobjective Control of Hybrid Building Envelopes: Integrating Adaptive Façades, Passive Radiative Cooling, and Indoor Air Quality Management Across Iranian Climates",exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105020666081,Enhancing Customer Perceptions and Satisfaction Towards AI Driven Windows Facade Market in South India,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105018307628,"Adaptive BIPV shading optimization for electricity generation and building electricity management, sDA, and DGP using multi-objective algorithms",exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105016872513,A hybrid framework for optimal design and control strategies of retractable roof stadium based on CNN-LSTM and NSGA-II,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105007906071,"From Stasis to Motion: Enhancing Environmental Performance through Dynamic Architecture Techniques A Reimagining of Traditional MashRabiya in Contemporary Case Study Design Commercial Building Design in Egypt (Mokattam area, Cairo)",exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105006665733,Tabular prior-data fitted network for urban air temperature inference and high temperature risk assessment,related_review,"review/overview, not primary system"
2-s2.0-105009000892,Adaptive Façades for High-Rise Residential Buildings: A Qualitative Analysis of the Design Parameters and Methods,related_review,"review/overview, not primary system"
2-s2.0-85218080379,Designing Adaptability Strategy to a Novel Kinetic Adaptive Façade (NKAF); Toward a Pioneering Method in Dynamic-objects Daylight Simulation (Post-Processing),exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105007750748,Computational Evaluation of a Biomimetic Kinetic Façade Inspired by the Venus Flytrap for Daylight and Glare Performance,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85217251600,Daylight Optimization of the South-Faced Architecture Classrooms Using Biomimicry-Based Kinetic Facade Shading System,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105001272856,Kinetic facades as a solution for educational buildings: A multi-objective optimization simulation-based study,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105005752559,Manifesting Architectural Subspaces with Two Mobile Robotic Partitions to Facilitate Spontaneous Office Meetings,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105011310369,Enhancing building energy system design using computational intelligence for smart buildings,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85218120115,Enhancing building energy system design using computational intelligence for smart buildings,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105023055856,Adaptive Façades for High-Rise Residential Buildings: A Qualitative Analysis of the Design Parameters and Methods,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105014739375,Designing buildings with potential for Artificial Intelligence integration: a conceptual study on adaptive façades,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105019198767,Building Energy Performance Assessment Based on a Bio-Inspired Kinetic Shading Devices,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105016498349,SIMULATION-BASED INVESTIGATION OF ETFE AND AUTOHEAL POLYMERS FOR ENERGY EFFICIENCY AND THERMAL COMFORT IN ADAPTIVE BUILDING ENVELOPES,related_review,"review/overview, not primary system"
2-s2.0-105018678599,An integrated generative-analytic framework for the performance-driven design of kinetic façades,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105012552090,Biomimetic approach for beams-redirected adaptive facade with emphasis on user position and the clustered synthesis,related_review,"review/overview, not primary system"
2-s2.0-85214110919,Daylight and Energy Performance Relationship of Classrooms and Office Spaces: Comparative Study of Istanbul Ticaret University Kucukyali Campus Building,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85175971133,Morphological composition assessment of kinetic façade designs via AHP and TOPSIS methods based on façade components and design inputs,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85194831374,Enhancing Visual Comfort and Energy Efficiency in Office Lighting Using Parametric-Generative Design Approach for Interactive Kinetic Louvers,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85192736363,A Study on the Effect of Dynamic Photovoltaic Shading Devices on Energy Consumption and Daylighting of an Office Building,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85207831129,Unexplored Scope of Adaptive Facades in Indian Corporate Offices Located in Warm and Humid Climate,related_review,"review/overview, not primary system"
2-s2.0-85202079838,Biomimetic kinetic façade as a real-time daylight control: complex form versus simple form with proper kinetic behavior,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105025595286,Multiobjective Approach for Optimizing Buildings’ Forms and Kinetic Façade Systems in Office Buildings,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85218488689,Interactive Architecture for Enhancing Energy Efficiency and Thermal Comfort in the Office Buildings,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85177830939,Light-responsive kinetic façade system inspired by the Gazania flower: A biomimetic approach in parametric design for daylighting,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85164364748,A design framework for a kinetic shading device system for building envelopes,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-105025581407,The Role of Smart Mashrabiya to Provide Daylighting in Office Buildings,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85173628216,The impact of a kinetic façade on the lighting performance and energy efficiency of a public building: the case of Dubai frame,related_review,"review/overview, not primary system"
2-s2.0-85136203135,General morphological analysis of Orosi windows and morpho butterfly wing's principles for improving occupant's daylight performance through interactive kinetic façade,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85133182630,Adaptive façade for building energy efficiency improvement by arithmetical optimization algorithm,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85139220297,"Tectonics of kinetic architecture: Moving envelope, changing space and the shades of the shed",exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85132117289,Development of Two-Step Biomimetic Design and Evaluation Framework for Performance-Oriented Design of Multi-Functional Adaptable Building Envelopes,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85127315495,Studying the influence of shading devices on indoor thermal comfort in desert and Mediterranean climates,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85169066096,REINFORCEMENT LEARNING-BASED GENERATIVE DESIGN METHODOLOGY FOR KINETIC FACADE,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85132073479,Hybrid Landscapes of India: Communicators Between the Worlds,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85140440872,Kinetic Architecture and BIM: The State of Art and Future Visions,related_review,"review/overview, not primary system"
2-s2.0-85109940032,Coherent investigation on a smart kinetic wooden façade based on material passport concepts and environmental profile inquiry,related_review,"review/overview, not primary system"
2-s2.0-85101152885,Biomimetic kinetic shading facade inspired by tree morphology for improving occupant’s daylight performance,related_review,"review/overview, not primary system"
2-s2.0-85101734566,"(In)stable Boundaries–towards Adaptive Architecture: Interrelated Changes in Architecture, Atmosphere and Human Experience",exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85081595613,A unified framework for optimizing the performance of a kinetic façade,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85202615055,THE IMPACT OF DYNAMIC FACADE TYPOLOGY ON DAYLIGHT AND ENERGY PERFORMANCE: COMPARING ROTATION AND FOLDING MOTION,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85074447310,Kinetic architecture application at the shed at Hudson yards,related_review,"review/overview, not primary system"
2-s2.0-85056302357,The role of geometry for adaptability: Comparison of shading systems and biological role models,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-84973549990,The development of kinetic façade units with BIM-based active control system for the adaptive building energy performance service,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-84948123832,Notes on the design process of a responsive sun-shading system: A case study of designer and user explorations supported by computational tools,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85048315643,Parametric BIM-based Energy Simulation for Buildings with Complex Kinetic Façades,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-84983464091,Dynamic façades and computation: Towards an inclusive categorization of high performance kinetic façade systems,related_review,"review/overview, not primary system"
2-s2.0-84880083431,An irregular discretization process for climate-responsive façades,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-84885014497,Interactive decision making environment for the design optimization of climate adaptive building shells,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-85083950415,Design Considerations for Adopting Kinetic Facades in Building Practice,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-77956157476,Parametric design based on building information modeling for sustainable buildings,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-78649933023,Adaptive building skin structures,related_review,"review/overview, not primary system"
2-s2.0-84870034647,Bio-inspired kinetic envelopes for building energy efficiency based on parametric design of building information modeling,related_review,"review/overview, not primary system"
2-s2.0-77952281279,Sustainable vision of kinetic architecture,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-58149363285,A scalable architecture for volume rendering,exclude:no_specific_system,"kinetic as context only, no concrete system"
2-s2.0-84963565522,A Scalable Architecture for Volume Rendering,exclude:no_specific_system,"kinetic as context only, no concrete system"
