eid,abstract,abstract_status,eff_doi,doi,title,year,source,issn,volume,issue,pageRange,doctype,first_author,author_names,author_ids,affilname,affiliation_country,citedby_count,openaccess,authkeywords,oa_match,oa_title_sim,openalex_id,oa_authors,oa_n_authors,oa_institutions,oa_countries,oa_rors,oa_concepts,oa_topics,oa_n_referenced_works,oa_cited_by_count,oa_counts_by_year,oa_is_oa,oa_oa_status,oa_source,oa_issn,oa_pub_year,oa_type,cr_match,cr_funders,cr_n_funders,cr_license_types,cr_has_license,cr_reference_count,cr_issn,cr_container_title,cr_published_year,cr_type
2-s2.0-105038431270,"Shadings have a crucial role in daylight performance of buildings; however, their impact is dependent on both sky conditions and shading specifications. This study investigates the daylight performance of both dynamic shading systems and compares them with static shading at various rotation angles in a nearly fully glazed office unit. In addition to rotation angle, shading geometry and sky condition are examined to evaluate their combined impact on façade performance. The Hourly Useful Illuminance (HUI) metric is introduced to assess hourly illumination levels for three International Commission on Illumination sky types: sunny with sun, intermediate with sun, and cloudy. Simulations reveal that both dynamic and static shadings perform better under sunny skies than under intermediate ones, and both negatively affect daylight performance under cloudy conditions, with dynamic shadings showing greater superiority under sunny and intermediate skies. The superiority of dynamic shadings was greater in Las Vegas with a sunny sky; the difference of HUI between dynamic and static shadings is 4.5 for rectangular and 5.7 for triangular shadings. Rectangular geometries perform slightly better than triangular ones, though the difference is marginal. The study also determines optimum rotation angles for dynamic and static shadings and shows that as cloudiness increases, the range of effective rotation angles narrows. Additionally, analysis across multiple cities indicates that the decline in the useful illuminance level (HUI) at some time steps corresponds to changes in solar altitude and sky brightness, occurring around noon under sunny conditions and during midday and the summer season under intermediate skies.",ok,10.1038/s41598-026-44644-9,10.1038/s41598-026-44644-9,Comparing daylight performance of dynamic and static shadings in office façades across multiple U.S. cities with various sky conditions,2026,Scientific Reports,,16,1,,Article,Ziaee N.,,,Art University of Isfahan,Iran,0,1,,doi,,https://openalex.org/W7139986332,Navid Ziaee; Mehdi Ghiai,2,Isfahan University of Art; Texas Tech University,IR; US,https://ror.org/03aqgee13; https://ror.org/0405mnx93,Daylight:0.876; Shading:0.721; Sky:0.658; Environmental science:0.646; Illuminance:0.608; Noon:0.567; Meteorology:0.531; Sunlight:0.407,Building Energy and Comfort Optimization; Urban Heat Island Mitigation; Architecture and Computational Design,31,0.0,[],True,gold,Scientific Reports,2045-2322,2026.0,article,doi,,0,tdm; vor,True,40.0,2045-2322,Scientific Reports,2026.0,journal-article
2-s2.0-105035804991,"Purpose This research assesses the knowledge enhancement of students as a consequence of the integration of traditional architectural concepts and contemporary kinetic facades systems. The study has a special focus on adaptive envelopes, which are inspired by Mashrabiya, which is an element of Islamic architecture. Using a design-build approach within an educational action-research model, three groups of students brainstormed and physically constructed kinetic facade prototypes using both physical and digital tools such as cardboard, steel parts, Arduino microcontrollers, and stepper motors. The study created distinct conceptual models, based on Islamic geometric vocabularies, biomimetic patterns based on avian wing movement, and solar-responsive design principles. The prototypes that were assembled demonstrated a deep understanding of the traditional roles of Mashrabiya such as daylight control, privacy control, and natural ventilation alongside measurable technical values. It is important to note that one result obtained a reduction of up to 93% in solar penetration without losing visual connectivity. The paper presents a case-based pedagogical framework that promotes early exposure to performance-based facade design and provides practical advice to instructors who want to incorporate sustainability and culturally responsive kinetic systems in architectural education and professional practice, particularly in the Gulf Cooperation Council.",ok,10.1007/s44217-026-01426-9,10.1007/s44217-026-01426-9,Integrating dynamic façade design into architectural education and practice through Mashrabiya-inspired kinetic systems,2026,Discover Education,,5,1,,Article,Fardous I.,,,Prince Sultan University,Saudi Arabia,0,1,,doi,,https://openalex.org/W4415245648,Isra'a Fardous; Amar Bennadji,2,Prince Sultan University; Hanze University of Applied Sciences,SA; NL,https://ror.org/053mqrf26; https://ror.org/00xqtxw43,Context (archaeology):0.634; Sustainability:0.615; Architectural engineering:0.495; Engineering:0.486; Cultural heritage:0.442; Architecture:0.435; Process (computing):0.415; Multidisciplinary approach:0.407,Architecture and Computational Design; Urban Design and Spatial Analysis; Architecture and Cultural Influences,34,0.0,[],True,diamond,Discover Education,2731-5525,2025.0,article,doi,,0,tdm; vor,True,42.0,2731-5525,Discover Education,2026.0,journal-article
2-s2.0-105039523489,"Hotel buildings in hot-humid climates face complex design challenges due to continuous occupancy, diverse functional spaces, and high demands for energy efficiency and occupant comfort. This study investigated how kinetic façade systems can address these challenges by dynamically adapting to environmental conditions. Three façade prototypes—a hexagonal rotating panel system, a Rec-Tri Pro sliding system, and the Al Bahar design inspired by Islamic geometric principles—were modeled and evaluated using environmental simulation tools in Grasshopper (Ladybug and Honeybee). A multi-objective genetic algorithm (Octopus) was employed to perform more than 1800 simulation-based optimization runs. Performance was assessed using four indicators: Energy Use Intensity (EUI), Daylight Autonomy (DA), Discomfort Glare Probability (DGP), and Predicted Mean Vote (PMV). The results indicate that each façade system demonstrated distinct performance strengths. The Al Bahar configuration exhibited the most balanced overall performance, achieving high daylight autonomy (74.8%), controlled glare levels (DGP < 0.35), and stable thermal comfort (PMV ranging between − 0.1 and + 0.4). In contrast, the Rec-Tri system achieved the lowest optimized energy consumption (~ 104.8 kWh/m2). These conclusions are based on a comparative multi-criteria assessment rather than prioritizing a single performance indicator. This study proposed a replicable five-stage framework to support the early-stage design and optimization of responsive kinetic façades in hospitality buildings through integrated simulation and standardized comparative evaluation methods. Kinetic façades integrated with GA for climate-based hotel design optimization First study comparing Hexagon, Rec-Tri Pro, and Star façades in Sari's climate Rec-Tri Pro had lowest energy use intensity (~ 104.8 kWh/m2/year) Star prototype showed best daylight autonomy (~ 74.8%) and glare control (DGP ~ − 3.34) Hexagon prototype offered the most balanced performance among all metrics",ok,10.1007/s43621-026-03014-1,10.1007/s43621-026-03014-1,Genetic algorithm-based assessment of kinetic façade prototypes for energy optimization and user comfort: a hotel case study in Iran,2026,Discover Sustainability,,7,1,,Article,Safaripoor S.,,,"Islamic Azad University, Bandar Abbas Branch",Iran,0,1,,doi,,https://openalex.org/W7147072388,Samaneh Safaripoor; Mozhgan Karimi; Marjan Ilbeigi; Fatemeh Ahrari; F. Y. Khalili; Fatemeh Mashhadimohammadzadehvazifeh; Raed Alelwani,7,Islamic Azad University Bandar Abbas; Modern College of Business and Science; Islamic Azad University of Birjand; Clemson University; Virginia Tech; Al Baha University,IR; OM; US; SA,https://ror.org/01q7qty61; https://ror.org/02hvzvg02; https://ror.org/02p42am41; https://ror.org/037s24f05; https://ror.org/02smfhw86; https://ror.org/0403jak37,Daylight:0.664; Computer science:0.557; Energy consumption:0.489; Thermal comfort:0.463; Efficient energy use:0.45; Simulation:0.415; Genetic algorithm:0.412; GLARE:0.391,Building Energy and Comfort Optimization; Facilities and Workplace Management; Urban Heat Island Mitigation,30,0.0,[],True,gold,Discover Sustainability,2662-9984,2026.0,article,doi,,0,tdm; vor,True,34.0,2662-9984,Discover Sustainability,2026.0,journal-article
2-s2.0-105036579469,"Using kinetic facade systems in administrative buildings enhances indoor environmental conditions inside the functional spaces of the building and simultaneously reduces energy consumption for ventilation; however, the optimal configuration parameters of the kinetic system for administrative buildings remain underexplored. Despite the increasing adoption of kinetic facade systems in administrative buildings to enhance thermal performance and reduce energy consumption, optimal configuration parameters remain underexplored, particularly regarding dynamic adjustment strategies during operational",ok,10.1061/jaeied.aeeng-2247,10.1061/JAEIED.AEENG-2247,Optimizing Ventilation and Temperature Reduction in Administrative Buildings Using Kinetic Facade Systems: A Response Surface Methodology Approach,2026,Journal of Architectural Engineering,10760431,32,3,,Article,Abdelhady M.I.,,,Faculty of Technology and Education,Egypt,0,0,,doi,,https://openalex.org/W7154988497,Mohamed Ibrahim Abdelhady; Mohamed I.A. Habba; Sherif Mohamed Ahmed Ali; Mai Hamdy Abdel Hamid; Hesham Yahia Essa; Asmaa Abd elmoneim Fahmi; Khadiga Elsayed Ahmed Shakra,7,Suez University; Modern Academy for Engineering and Technology; Modern Academy; Beni-Suef University,EG,https://ror.org/00ndhrx30; https://ror.org/02dmj8v04; https://ror.org/02exeb428; https://ror.org/05pn4yv70,Facade:0.904; Kinetic energy:0.647; Ventilation (architecture):0.575; Reduction (mathematics):0.554; Environmental science:0.479; Thermal:0.479; Response surface methodology:0.417; Energy consumption:0.412,Building Energy and Comfort Optimization; Solar Energy Systems and Technologies; Wind and Air Flow Studies,36,0.0,[],False,closed,Journal of Architectural Engineering,1076-0431; 1943-5568,2026.0,article,doi,,0,,False,50.0,1076-0431; 1943-5568,Journal of Architectural Engineering,2026.0,journal-article
2-s2.0-105039829141,,missing,10.1016/j.autcon.2026.107051,10.1016/j.autcon.2026.107051,3D-to-4D printing technologies in construction: Roadmap review of current status and potential applications,2026,Automation in Construction,09265805,189,,,Review,Rajeev P.,,,Swinburne University of Technology,Australia,0,1,,doi,,https://openalex.org/W7162340518,Pathmanathan Rajeev; Satheeskumar Navaratnam; Thisari Munmulla; Jay Sanjayan,4,,,,Current (fluid):0.651; Engineering:0.613; Systems engineering:0.48; Manufacturing engineering:0.45; Technology roadmap:0.382; Computer science:0.329; Engineering drawing:0.301; Electrical engineering:0.271,Innovations in Concrete and Construction Materials; Advanced Materials and Mechanics; 3D Printing in Biomedical Research,97,0.0,[],True,hybrid,Automation in Construction,0926-5805; 1872-7891,2026.0,article,doi,Australian Research Council,1,tdm; vor,True,151.0,0926-5805,Automation in Construction,2026.0,journal-article
2-s2.0-105039967513,,missing,10.1016/j.enbuild.2026.117682,10.1016/j.enbuild.2026.117682,"Systematic review of nanocoatings for building envelopes: thermal, radiative, and durability trends across materials and climatic contexts",2026,Energy and Buildings,03787788,366,,,Review,Boostani H.,,,Woxsen University,India,0,1,,doi,,https://openalex.org/W7161700285,Haleh Boostani; Hasim Altan,2,Woxsen School of Business; United Arab Emirates University,IN; AE,https://ror.org/0305fyb87; https://ror.org/01km6p862,Durability:0.797; Engineering:0.418; Forensic engineering:0.35; Environmental science:0.347; Materials science:0.346; Engineering physics:0.309; Construction engineering:0.293; Architectural engineering:0.287,Aerogels and thermal insulation; Transition Metal Oxide Nanomaterials; Silicone and Siloxane Chemistry,121,0.0,[],True,hybrid,Energy and Buildings,0378-7788; 1872-6178,2026.0,article,doi,United Arab Emirates University,1,tdm; vor,True,159.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105039813460,,missing,10.1016/j.enbuild.2026.117660,10.1016/j.enbuild.2026.117660,Optimization of thermally variable solar collection walls integrated with flat plate gravity heat pipes,2026,Energy and Buildings,03787788,365,,,Article,Shi S.,,,Tsinghua University,China,0,0,,doi,,https://openalex.org/W7161397636,Shaohang Shi; Ning Zhu; Yong Jiang; 董国群; Borong Lin,5,Tsinghua University; Beijing Urban Construction Design & Development Group (China),CN,https://ror.org/03cve4549; https://ror.org/03cw0ad25,Variable (mathematics):0.598; Materials science:0.496; Thermal:0.414; Gravity force:0.401; Mechanics:0.394; Heat pipe:0.389; Solar energy:0.333; Passive solar building design:0.329,Solar Thermal and Photovoltaic Systems; Heat Transfer and Boiling Studies; Solar-Powered Water Purification Methods,36,0.0,[],False,closed,Energy and Buildings,0378-7788; 1872-6178,2026.0,article,doi,,0,stm-asf; tdm,True,39.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105024140128,,missing,10.1016/j.foar.2025.09.007,10.1016/j.foar.2025.09.007,Energy harvest and daylighting performance of dynamic photovoltaic shading system-a comparison study in various climate zones of China,2026,Frontiers of Architectural Research,20952635,15,4,1251-1266,Article,Wang W.,,,Hong Kong University of Science and Technology,Hong Kong,0,1,,doi,,https://openalex.org/W4416421665,Wanting Wang; Kaiyan Xu; Mingyang Wang; Zhe Kong; Changying Xiang,5,Hong Kong University of Science and Technology; Southeast University; Institut de Recherche et d’Innovation; University of Hong Kong; South China University of Technology,HK; BD; CN; FR,https://ror.org/00q4vv597; https://ror.org/00cf0ab87; https://ror.org/04ct4d772; https://ror.org/04nqadf13; https://ror.org/02zhqgq86; https://ror.org/0530pts50,Environmental science:0.705; Daylighting:0.686; Illuminance:0.669; Shading:0.656; Photovoltaic system:0.602; Daylight:0.545; Photovoltaics:0.512; Electricity generation:0.476,Building Energy and Comfort Optimization; Solar Thermal and Photovoltaic Systems; Solar Radiation and Photovoltaics,27,0.0,[],True,diamond,Frontiers of Architectural Research,2095-2635; 2095-2643,2025.0,article,doi,National Natural Science Foundation of China; Hong Kong University of Science and Technology,2,tdm; vor,True,38.0,2095-2635,Frontiers of Architectural Research,2026.0,journal-article
2-s2.0-105039786699,,missing,10.1016/j.buildenv.2026.114752,10.1016/j.buildenv.2026.114752,Wind-driven rain mitigation effects of building facade shading systems: insights from comparative field measurements,2026,Building and Environment,03601323,301,,,Article,Huang S.,,,South China University of Technology,China,0,0,,doi,,https://openalex.org/W7161817978,Shan Huang; Duo Zhang; Junsong Wang; Yiqiang Xiao; Chuyu Shang; Fengyin Wang; Shi Yin,7,South China University of Technology,CN,https://ror.org/0530pts50,Facade:0.912; Shading:0.788; Environmental science:0.568; Remote sensing:0.548; Field (mathematics):0.52; Meteorology:0.419; Engineering:0.284; Marine engineering:0.267,Wind and Air Flow Studies; Tree Root and Stability Studies; Flood Risk Assessment and Management,44,0.0,[],False,closed,Building and Environment,0360-1323; 1873-684X,2026.0,article,doi,Guangdong Provincial Natural Science Foundation; National Natural Science Foundation of China,2,stm-asf; tdm,True,53.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105037745526,,missing,10.1016/j.energy.2026.141160,10.1016/j.energy.2026.141160,"Spatiotemporal dynamics of thermal comfort, energy consumption, and carbon emissions in climate-adaptive MPCMs used for building envelopes across 11 cities with continental climate",2026,Energy,03605442,356,,,Article,Yao Z.,,,Tianjin University of Commerce,China,0,0,,doi,,https://openalex.org/W7155689833,Zhuonan Yao; Wantong Lu; Hui Zhang; Xinyu Wang; Lihua Zhu; Yan Shi,6,Tianjin University of Commerce,CN,https://ror.org/02b6amy98,Environmental science:0.723; Climate change:0.594; Thermal:0.591; Range (aeronautics):0.591; Carbon fibers:0.533; Work (physics):0.508; Composite number:0.482; Thermal energy:0.48,Phase Change Materials Research; Hygrothermal properties of building materials; Solar Thermal and Photovoltaic Systems,41,0.0,[],False,closed,Energy,0360-5442; 1873-6785,2026.0,article,doi,Tianjin Municipal Science and Technology Bureau; Key Technologies Research and Development Program,2,stm-asf; tdm,True,57.0,0360-5442,Energy,2026.0,journal-article
