eid,doi,doi_url,title,source
2-s2.0-105039829141,10.1016/j.autcon.2026.107051,https://doi.org/10.1016/j.autcon.2026.107051,3D-to-4D printing technologies in construction: Roadmap review of current status and potential applications,Automation in Construction
2-s2.0-105039967513,10.1016/j.enbuild.2026.117682,https://doi.org/10.1016/j.enbuild.2026.117682,"Systematic review of nanocoatings for building envelopes: thermal, radiative, and durability trends across materials and climatic contexts",Energy and Buildings
2-s2.0-105039813460,10.1016/j.enbuild.2026.117660,https://doi.org/10.1016/j.enbuild.2026.117660,Optimization of thermally variable solar collection walls integrated with flat plate gravity heat pipes,Energy and Buildings
2-s2.0-105024140128,10.1016/j.foar.2025.09.007,https://doi.org/10.1016/j.foar.2025.09.007,Energy harvest and daylighting performance of dynamic photovoltaic shading system-a comparison study in various climate zones of China,Frontiers of Architectural Research
2-s2.0-105039786699,10.1016/j.buildenv.2026.114752,https://doi.org/10.1016/j.buildenv.2026.114752,Wind-driven rain mitigation effects of building facade shading systems: insights from comparative field measurements,Building and Environment
2-s2.0-105037745526,10.1016/j.energy.2026.141160,https://doi.org/10.1016/j.energy.2026.141160,"Spatiotemporal dynamics of thermal comfort, energy consumption, and carbon emissions in climate-adaptive MPCMs used for building envelopes across 11 cities with continental climate",Energy
2-s2.0-105038742714,10.1016/j.buildenv.2026.114718,https://doi.org/10.1016/j.buildenv.2026.114718,Real-time optimization of a dynamic solar PV integrated shading design with data-driven reactive control and spatial daylighting prediction,Building and Environment
2-s2.0-105037445983,10.1016/j.energy.2026.141166,https://doi.org/10.1016/j.energy.2026.141166,"Experimentally validated numerical model of adaptive envelopes with macroencapsulated PCMs under real conditions, including the effects of the capsule and indoor temperature variation",Energy
2-s2.0-105032991932,10.1016/j.susmat.2026.e01957,https://doi.org/10.1016/j.susmat.2026.e01957,Bio-inspired 4D printing of earthen soil composites for structural living wall applications,Sustainable Materials and Technologies
2-s2.0-105038814362,10.1016/j.buildenv.2026.114744,https://doi.org/10.1016/j.buildenv.2026.114744,Green facades and building energy performance: a multi-climate perspective,Building and Environment
2-s2.0-105037762368,10.1016/j.applthermaleng.2026.131205,https://doi.org/10.1016/j.applthermaleng.2026.131205,"Comprehensive evaluation of building energy load, power generation, and shading effects of vertical single-axis tracking PV louver systems",Applied Thermal Engineering
2-s2.0-105037440667,10.1016/j.enbuild.2026.117493,https://doi.org/10.1016/j.enbuild.2026.117493,Climate-responsive envelope design for educational buildings: A comparative simulation study between the UK and Egypt,Energy and Buildings
2-s2.0-105032881431,10.1016/j.conengprac.2026.106893,https://doi.org/10.1016/j.conengprac.2026.106893,Observer-based robust MPC for trajectory tracking of autonomous vehicles with dynamic envelopes,Control Engineering Practice
2-s2.0-105036251755,10.1016/j.buildenv.2026.114615,https://doi.org/10.1016/j.buildenv.2026.114615,Impacts of balconies on air quality within idealized building array: CFD modelling with solar radiation,Building and Environment
2-s2.0-105035264470,10.1016/j.energy.2026.140990,https://doi.org/10.1016/j.energy.2026.140990,"Digital twin and AI-driven smart adaptive walls for energy, comfort and carbon optimization in intelligent green buildings",Energy
2-s2.0-105034360495,10.1016/j.buildenv.2026.114541,https://doi.org/10.1016/j.buildenv.2026.114541,"Predicting emotional impact of adaptive façades through Machine Learning, A VR-based study with PAD assessment",Building and Environment
2-s2.0-105034627643,10.1016/j.jweia.2026.106394,https://doi.org/10.1016/j.jweia.2026.106394,Cyber-physical smart morphing facades driven by reinforcement learning for wind-induced vibration control in tall buildings,Journal of Wind Engineering and Industrial Aerodynamics
2-s2.0-105025022388,10.1016/j.egyr.2025.12.042,https://doi.org/10.1016/j.egyr.2025.12.042,"Impact of microalgae-integrated windows on building performance: Energy, daylight, and carbon analysis using an innovative simulation method",Energy Reports
2-s2.0-105035254581,10.1016/j.enbuild.2026.117351,https://doi.org/10.1016/j.enbuild.2026.117351,Building robustness: measuring climate-responsive performance with information theory,Energy and Buildings
