eid,doi,doi_url,title,source
2-s2.0-105015075076,10.1002/adma.202511392,https://doi.org/10.1002/adma.202511392,Smart Skin for Zero Energy Buildings: A Review of Thermoresponsive Spectral-Adaptive Envelopes,Advanced Materials
2-s2.0-105010013654,10.1002/adsu.202500603,https://doi.org/10.1002/adsu.202500603,Application of a Dynamic Semitransparent Agrivoltaic Panel for Controlling Sunlight Allocation to Solar Cells and Crops,Advanced Sustainable Systems
2-s2.0-105005200552,10.1002/ep.14621,https://doi.org/10.1002/ep.14621,Maximizing energy harvesting in grid-connected hybrid photovoltaic and thermoelectric generator systems: An adaptive global power tracking technique,Environmental Progress and Sustainable Energy
2-s2.0-105024220328,10.1002/2475-8876.70059,https://doi.org/10.1002/2475-8876.70059,Impact of Time Interval Settings on Energy Simulation Outcomes and Solar Shading Operations Using Minute-Interval Weather Data for Building Design,Japan Architectural Review
2-s2.0-85210399097,10.1002/solr.202400465,https://doi.org/10.1002/solr.202400465,Performance Analysis of Dynamic Building-Integrated Photovoltaic Shading System for High Technology Readiness Level Validation,Solar Rrl
2-s2.0-85208094326,10.1002/ad.3116,https://doi.org/10.1002/ad.3116,Essential Machines: Kinetic Architecture and the Human Experience,Architectural Design
2-s2.0-85193295346,10.1002/adfm.202404721,https://doi.org/10.1002/adfm.202404721,Hierarchically Programmed Meta-Louver Fabric for Adaptive Personal Thermal Management,Advanced Functional Materials
2-s2.0-85193550560,10.1002/tal.2133,https://doi.org/10.1002/tal.2133,Dynamical performances of a wind-excited high-rise structure equipped with a multiblock movable faca̧de,Structural Design of Tall and Special Buildings
2-s2.0-85171565341,10.1002/adsu.202300253,https://doi.org/10.1002/adsu.202300253,Large-Scaled and Solar-Reflective Kirigami-Based Building Envelopes for Shading and Occupants’ Thermal Comfort,Advanced Sustainable Systems
2-s2.0-85175708869,10.1002/ad.2992,https://doi.org/10.1002/ad.2992,Architecture in Postreality: Emerging Approaches to Space in Hybrid Realities,Architectural Design
2-s2.0-85133182630,10.1002/cpe.7152,https://doi.org/10.1002/cpe.7152,Adaptive façade for building energy efficiency improvement by arithmetical optimization algorithm,Concurrency and Computation Practice and Experience
2-s2.0-85134547337,10.1002/advs.202202740,https://doi.org/10.1002/advs.202202740,A Highly Multi-Stable Meta-Structure via Anisotropy for Large and Reversible Shape Transformation,Advanced Science
2-s2.0-85097248742,10.1002/cae.22370,https://doi.org/10.1002/cae.22370,Robotics application for the advanced integration of design and technology in architecture,Computer Applications in Engineering Education
2-s2.0-85097157612,10.1002/bapi.202000034,https://doi.org/10.1002/bapi.202000034,Exploring the potential of dynamic façade systems: an exterior shading system versus a switchable window,Bauphysik
2-s2.0-85084830682,10.1002/ese3.725,https://doi.org/10.1002/ese3.725,Future trends and main concepts of adaptive facade systems,Energy Science and Engineering
2-s2.0-85077903224,10.1002/stc.2463,https://doi.org/10.1002/stc.2463,Explorative study on adaptive facades with superelastic antagonistic actuation,Structural Control and Health Monitoring
2-s2.0-105007397822,10.1002/9783433609613.ch37,https://doi.org/10.1002/9783433609613.ch37,The use of biological models for building engineering design,Physical Models their Historical and Current Use in Civil and Building Engineering Design
2-s2.0-85064674599,10.1002/ad.2438,https://doi.org/10.1002/ad.2438,Pushing the envelope: Innovation and collaboration at Bloomberg’s new European headquarters,Architectural Design
2-s2.0-85055884829,10.1002/cae.22080,https://doi.org/10.1002/cae.22080,Robotics and kinetic design for underrepresented minority (URM) students in building education: Challenges and opportunities,Computer Applications in Engineering Education
2-s2.0-85055534291,10.1002/dac.3829,https://doi.org/10.1002/dac.3829,Adaptive envelope process and minimum service curve applied to resource block allocation in the LTE downlink,International Journal of Communication Systems
2-s2.0-85056581823,10.1002/ad.2368,https://doi.org/10.1002/ad.2368,Three Main Drivers of Sustainable Design: A New Architectural Vernacular for China,Architectural Design
