eid,eff_doi,title,source,doctype,abstract_status,decision,reason_category,confidence,judged_on,mechanism_family,study_type,performance_reported,one_line
2-s2.0-105038431270,10.1038/s41598-026-44644-9,Comparing daylight performance of dynamic and static shadings in office façades across multiple U.S. cities with various sky conditions,Scientific Reports,Article,ok,include,,high,abstract,mechanical,simulation,daylight,"facade + physical movement (rotation angle, shading; shading at various rotation)"
2-s2.0-105035804991,10.1007/s44217-026-01426-9,Integrating dynamic façade design into architectural education and practice through Mashrabiya-inspired kinetic systems,Discover Education,Article,ok,include,,high,abstract,mechanical,prototype,daylight,facade + physical movement (kinetic facade)
2-s2.0-105039523489,10.1007/s43621-026-03014-1,Genetic algorithm-based assessment of kinetic façade prototypes for energy optimization and user comfort: a hotel case study in Iran,Discover Sustainability,Article,ok,include,,high,abstract,mechanical,prototype,multiple,facade + physical movement (kinetic façade; rotating panel)
2-s2.0-105036579469,10.1061/jaeied.aeeng-2247,Optimizing Ventilation and Temperature Reduction in Administrative Buildings Using Kinetic Facade Systems: A Response Surface Methodology Approach,Journal of Architectural Engineering,Article,ok,include,,high,abstract,unclear,unclear,energy,facade + physical movement (kinetic facade)
2-s2.0-105039829141,10.1016/j.autcon.2026.107051,3D-to-4D printing technologies in construction: Roadmap review of current status and potential applications,Automation in Construction,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105039967513,10.1016/j.enbuild.2026.117682,"Systematic review of nanocoatings for building envelopes: thermal, radiative, and durability trends across materials and climatic contexts",Energy and Buildings,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
2-s2.0-105039813460,10.1016/j.enbuild.2026.117660,Optimization of thermally variable solar collection walls integrated with flat plate gravity heat pipes,Energy and Buildings,Article,ok,exclude,facade_no_movement,high,abstract,,,,"optical/material-state, no geometry (electrochrom)"
2-s2.0-105024140128,10.1016/j.foar.2025.09.007,Energy harvest and daylighting performance of dynamic photovoltaic shading system-a comparison study in various climate zones of China,Frontiers of Architectural Research,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105039786699,10.1016/j.buildenv.2026.114752,Wind-driven rain mitigation effects of building facade shading systems: insights from comparative field measurements,Building and Environment,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105037745526,10.1016/j.energy.2026.141160,"Spatiotemporal dynamics of thermal comfort, energy consumption, and carbon emissions in climate-adaptive MPCMs used for building envelopes across 11 cities with continental climate",Energy,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (phase change material)"
2-s2.0-105038742714,10.1016/j.buildenv.2026.114718,Real-time optimization of a dynamic solar PV integrated shading design with data-driven reactive control and spatial daylighting prediction,Building and Environment,Article,ok,include,,high,abstract,mechanical,simulation,multiple,facade + physical movement (slation and single-axis rotation)
2-s2.0-105037445983,10.1016/j.energy.2026.141166,"Experimentally validated numerical model of adaptive envelopes with macroencapsulated PCMs under real conditions, including the effects of the capsule and indoor temperature variation",Energy,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (pcm; phase change material; thermal energy storage)"
2-s2.0-105032991932,10.1016/j.susmat.2026.e01957,Bio-inspired 4D printing of earthen soil composites for structural living wall applications,Sustainable Materials and Technologies,Article,ok,include,,high,abstract,material-driven,experiment,none,facade + physical movement (4d print)
2-s2.0-105038814362,10.1016/j.buildenv.2026.114744,Green facades and building energy performance: a multi-climate perspective,Building and Environment,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105037762368,10.1016/j.applthermaleng.2026.131205,"Comprehensive evaluation of building energy load, power generation, and shading effects of vertical single-axis tracking PV louver systems",Applied Thermal Engineering,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105037440667,10.1016/j.enbuild.2026.117493,Climate-responsive envelope design for educational buildings: A comparative simulation study between the UK and Egypt,Energy and Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105032881431,10.1016/j.conengprac.2026.106893,Observer-based robust MPC for trajectory tracking of autonomous vehicles with dynamic envelopes,Control Engineering Practice,Article,ok,exclude,not_facade,high,abstract,,,,no facade context and no movement signal
2-s2.0-105036251755,10.1016/j.buildenv.2026.114615,Impacts of balconies on air quality within idealized building array: CFD modelling with solar radiation,Building and Environment,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
