eid,title,outcome,keywords,abstract_head
2-s2.0-105026452555,Hourly solar irradiance estimation and building-surface solar potential assessment via remote sensing and machine learning for data-scarce mountainous regions,insufficient_info(cue but unconfirmed),,"Mountainous regions, as important terrestrial landscapes, possess considerable solar resources due to high altitudes, offering substantial potential for solar energy utilization on"
2-s2.0-105031629892,Real-time monitoring of grinding wheel using a dynamic envelope model,insufficient_info(cue but unconfirmed),,"In the grinding process, measuring the profile of the grinding wheel is important for evaluating the accuracy of machining the workpiece, monitoring the wear of the grinding wheel "
2-s2.0-105035388547,3D façade geometry as a dual passive control in hot urban canyons: reducing street MRT and cooling loads,include,Climate change; Cooling loads; Façade surface temperature; M,Both horizontal and vertical surface characteristics shape urban microclimates in hot‑summer cities. Although recent attention has turned to three‑dimensional (3D) façade geometrie
2-s2.0-105031172632,RHpT: Bioclimatic framework for passive climate-adaptive bio-façades in urban contexts,insufficient_info(cue but unconfirmed),,"Globally, cities are grappling with intensifying heat stress and rising cooling energy demand, with the impacts disproportionately falling on populations in the Global South, where"
2-s2.0-105031735170,Adaptive photonic films for fenestration-integrated PV technology to enhance energy saving and thermal comfort: Concept and theoretical investigation,insufficient_info(cue but unconfirmed),,"Photovoltaic (PV) fenestration is a widely adopted building-integrated PV technology. However, its application often results in indoor overheating during summer daytime and overcoo"
2-s2.0-105036811313,"Wind-Sound Synergy and Fractal Design: Intelligent, Adaptive Acoustic Façades for High-Performance, Climate-Responsive Buildings",insufficient_info(cue but unconfirmed),,"The building façade serves as the primary interface between the built environment and external climate, marking the transition from static regulation to dynamic response in climate"
2-s2.0-105030025564,Sustainable Urban Planning for High-Rise Residential Complexes Using an Adaptive Facade System,insufficient_info(cue but unconfirmed),,This study proposes a sustainable urban planning strategy that enhances building energy self-sufficiency through photovoltaic-based renewable energy generation. This research focus
2-s2.0-105031380734,Envelope Retrofitting by Building-Integrated Agricultural Greenhouses: A Multi-Objective Form Optimisation Procedure,insufficient_info(cue but unconfirmed),,"Building-integrated agriculture can enhance urban food resilience when a greenhouse allows production during the cold season, especially in facade greenhouse retrofits on existing "
2-s2.0-105031866483,A data-driven multi-objective optimization to tailor the impact of orientation on cooling loads of residential building in hot climate,insufficient_info(cue but unconfirmed),,"Building envelope design features and orientation significantly influence energy demand and thermal comfort in residential buildings, particularly in hot climates. While previous s"
2-s2.0-105028227685,Architectural swarms for responsive façades and creative expression,include,nan,"Living architectures, such as beehives and ant bridges, adapt continuously to their environments through self-organization of swarming agents. In contrast, most human-made architec"
