eid,doi,doi_url,title,source
2-s2.0-105036503017,10.1115/1.4071458,https://doi.org/10.1115/1.4071458,Artificial Intelligence-Driven Adaptive Facade Systems in High-Rise Buildings: A Study on Integrating Machine Learning With Real-Time Environmental Data to Optimize Energy Efficiency,Journal of Engineering for Sustainable Buildings and Cities
2-s2.0-105015518906,10.1115/1.4069135,https://doi.org/10.1115/1.4069135,Energy Benefits of Retrofitting Residential Communities: Case Study of KAUST Villa Housing Community,Journal of Engineering for Sustainable Buildings and Cities
2-s2.0-105014965797,10.1115/1.4068810,https://doi.org/10.1115/1.4068810,"Parametric Design of Tessellated Geometric Kinetic Façade for Daylighting and Glare Control in a High-Rise Hospital Building in Amman, Jordan",Journal of Engineering for Sustainable Buildings and Cities
2-s2.0-85198731386,10.1115/1.4056928,https://doi.org/10.1115/1.4056928,Computational Design of Multi-State Lattice Structures With Finite Mechanisms for Shape Morphing,Journal of Mechanical Design
2-s2.0-85185394858,10.1115/IMECE2023-113117,https://doi.org/10.1115/IMECE2023-113117,"INTELLIGENT FACADE INNOVATION (IFI): USING IIOT, DIGITAL TWIN, AND NEXT-GEN ARCHITECTURE DESIGNS",ASME International Mechanical Engineering Congress and Exposition Proceedings Imece
2-s2.0-85163680546,10.1115/1.4056394,https://doi.org/10.1115/1.4056394,Assessment of Dynamic Photovoltaic Shading Systems on Energy Performance of Commercial Buildings,Journal of Engineering for Sustainable Buildings and Cities
2-s2.0-85141817744,10.1115/1.4054775,https://doi.org/10.1115/1.4054775,A Comparative Energy Analysis of Dynamic External Shadings for Office Buildings,Journal of Engineering for Sustainable Buildings and Cities
2-s2.0-85107983070,10.1115/1.4049432,https://doi.org/10.1115/1.4049432,Thermal Characterization of Building Walls under Random Boundary Conditions,Journal of Thermal Science and Engineering Applications
2-s2.0-85096784584,10.1115/SMASIS2020-2302,https://doi.org/10.1115/SMASIS2020-2302,Design optimization of shape memory alloy-based adaptive building skins for thermal regulation,ASME 2020 Conference on Smart Materials Adaptive Structures and Intelligent Systems Smasis 2020
2-s2.0-85084098195,10.1115/SMASIS2019-5674,https://doi.org/10.1115/SMASIS2019-5674,Developing a smart façade system controller for wind-induced vibration mitigation in tall buildings,ASME 2019 Conference on Smart Materials Adaptive Structures and Intelligent Systems Smasis 2019
2-s2.0-85084098231,10.1115/ES2019-3909,https://doi.org/10.1115/ES2019-3909,Comparison and implementation of thermally massive wall and roof models for use in simplified building energy models,ASME 2019 13th International Conference on Energy Sustainability Es 2019 Collocated with the ASME 2019 Heat Transfer Summer Conference
2-s2.0-85060388021,10.1115/IMECE2018-87050,https://doi.org/10.1115/IMECE2018-87050,3D construction of a tilted cuboid mechanical metamaterial,ASME International Mechanical Engineering Congress and Exposition Proceedings Imece
2-s2.0-85203479433,10.1115/1.4027154,https://doi.org/10.1115/1.4027154,Evaluation of impact of shading devices on energy consumption of buildings in tropical regions,Journal of Energy Resources Technology Transactions of the ASME
2-s2.0-84902805510,10.1115/JRC2014-3744,https://doi.org/10.1115/JRC2014-3744,Effect of dynamic envelope pavement markings on vehicle driver behavior at a highway-rail grade crossing,2014 Joint Rail Conference Jrc 2014
2-s2.0-84896322281,10.1115/SMASIS2013-3001,https://doi.org/10.1115/SMASIS2013-3001,SMA actuated vertical blade louver system: Part 1 performance requirements and design,ASME 2013 Conference on Smart Materials Adaptive Structures and Intelligent Systems Smasis 2013
2-s2.0-70349091052,10.1115/RTDF2008-74025,https://doi.org/10.1115/RTDF2008-74025,Numerical simulation of freight railcar dynamic clearance envelopes,American Society of Mechanical Engineers Rail Transportation Division Publication RTD
2-s2.0-37249005312,10.1115/ES2007-36256,https://doi.org/10.1115/ES2007-36256,Energy consumption simulation for residential buildings with shading devices in different regions,Proceedings of the Energy Sustainability Conference 2007
