eid,doi,doi_url,title,source
2-s2.0-105040080485,10.3390/en19102267,https://doi.org/10.3390/en19102267,Modeling of Adaptive Shading Adjustment Behavior in Buildings and Its Impacts on Building Energy Consumption and Indoor Lighting and Thermal Environments: A Systematic Review,Energies
2-s2.0-105038552379,10.3390/buildings16091779,https://doi.org/10.3390/buildings16091779,Research on the Impact of Transition Space on the Optimization of Thermal Environment in Community Elderly Indoor Activity Spaces,Buildings
2-s2.0-105040100498,10.3390/buildings16101887,https://doi.org/10.3390/buildings16101887,Dynamic Optimization Model for Passive Solar Shading and Its Application in Building Energy Efficiency Across Multiple,Buildings
2-s2.0-105037043202,10.3390/buildings16081519,https://doi.org/10.3390/buildings16081519,The Development and Performance of a Novel Switchable Shading Device,Buildings
2-s2.0-105036811313,10.3390/buildings16081615,https://doi.org/10.3390/buildings16081615,"Wind-Sound Synergy and Fractal Design: Intelligent, Adaptive Acoustic Façades for High-Performance, Climate-Responsive Buildings",Buildings
2-s2.0-105037088748,10.3390/solar6020014,https://doi.org/10.3390/solar6020014,Dynamic Optimisation of Façade-Integrated Solar Cooling Elements: Adsorption Cooling Versus Photovoltaic Scenarios,Solar
2-s2.0-105035974577,10.3390/buildings16071449,https://doi.org/10.3390/buildings16071449,The Impact of Material on Environmental Indicators: An LCA Analysis of 30 Variants of Pitched Roofs,Buildings
2-s2.0-105035560431,10.3390/en19071641,https://doi.org/10.3390/en19071641,Research on an Improved Adaptive Optimization Calculation Method for Dynamic Heat Flux of Building Envelope Based on IFDM-RKF,Energies
2-s2.0-105034324352,10.3390/su18063052,https://doi.org/10.3390/su18063052,Daylight Evaluation of Static and Kinetic Horizontal Shading Systems for Sustainable Visual Comfort: Experimental Illuminance Measurements and Calibrated Simulation,Sustainability Switzerland
2-s2.0-105034142621,10.3390/biomimetics11030222,https://doi.org/10.3390/biomimetics11030222,Challenging the Biomimetic Promise 2.0: Negative Spillover of Bio-Inspired Versus Sustainability Framing on Public Perceptions of Bio-Inspired Technologies,Biomimetics
2-s2.0-105032754558,10.3390/buildings16051048,https://doi.org/10.3390/buildings16051048,Optimizing Thermal–Daylight Performance of South-Facing High-Rise Apartment Rooms Using Slat-Based Shading Devices in Tropical Regions,Buildings
2-s2.0-105034355708,10.3390/architecture6010032,https://doi.org/10.3390/architecture6010032,From Urban Heat Islands to Resilient Cities: A Conceptual Framework for Resilient and Sustainable Urban Environments,Architecture
2-s2.0-105032665560,10.3390/su18052467,https://doi.org/10.3390/su18052467,A Performance-Based Methodology for Retrofitting Buildings Guided by Visual Comfort,Sustainability Switzerland
2-s2.0-105032667262,10.3390/su18052379,https://doi.org/10.3390/su18052379,Integrating Generative Design and Artificial Intelligence for Optimized Energy-Efficient Composite Facades in Next-Generation Smart Buildings,Sustainability Switzerland
2-s2.0-105034154479,10.3390/eng7030119,https://doi.org/10.3390/eng7030119,Parametric Investigation of Climate-Responsive Roof Design Strategies for Buildings in India,Eng
2-s2.0-105030025564,10.3390/app16031574,https://doi.org/10.3390/app16031574,Sustainable Urban Planning for High-Rise Residential Complexes Using an Adaptive Facade System,Applied Sciences Switzerland
2-s2.0-105031363848,10.3390/buildings16040798,https://doi.org/10.3390/buildings16040798,Evaluation of the Annual Power Generation Characteristics and Energy Efficiency of Sun-Tracking Photovoltaic Windows in the Hangzhou Area,Buildings
2-s2.0-105031493650,10.3390/buildings16040861,https://doi.org/10.3390/buildings16040861,A Conceptual Framework for Pollution-Resilient Aluminium Façades: Introducing the Pollution Degradation Modifier (PDM),Buildings
