eid,eff_doi,title,source,doctype,mechanism_family,study_type,performance_reported,decision,pass2_note
2-s2.0-105038431270,10.1038/s41598-026-44644-9,Comparing daylight performance of dynamic and static shadings in office façades across multiple U.S. cities with various sky conditions,Scientific Reports,Article,mechanical,simulation,daylight,include,
2-s2.0-105035804991,10.1007/s44217-026-01426-9,Integrating dynamic façade design into architectural education and practice through Mashrabiya-inspired kinetic systems,Discover Education,Article,mechanical,prototype,daylight,include,
2-s2.0-105039523489,10.1007/s43621-026-03014-1,Genetic algorithm-based assessment of kinetic façade prototypes for energy optimization and user comfort: a hotel case study in Iran,Discover Sustainability,Article,mechanical,prototype,multiple,include,
2-s2.0-105036579469,10.1061/jaeied.aeeng-2247,Optimizing Ventilation and Temperature Reduction in Administrative Buildings Using Kinetic Facade Systems: A Response Surface Methodology Approach,Journal of Architectural Engineering,Article,unclear,unclear,energy,include,
2-s2.0-105038742714,10.1016/j.buildenv.2026.114718,Real-time optimization of a dynamic solar PV integrated shading design with data-driven reactive control and spatial daylighting prediction,Building and Environment,Article,mechanical,simulation,multiple,include,
2-s2.0-105032991932,10.1016/j.susmat.2026.e01957,Bio-inspired 4D printing of earthen soil composites for structural living wall applications,Sustainable Materials and Technologies,Article,material-driven,experiment,none,include,
2-s2.0-105037762368,10.1016/j.applthermaleng.2026.131205,"Comprehensive evaluation of building energy load, power generation, and shading effects of vertical single-axis tracking PV louver systems",Applied Thermal Engineering,Article,mechanical,simulation,energy,uncertain_fulltext,PROMOTE: tracking pv louver
2-s2.0-105035264470,10.1016/j.energy.2026.140990,"Digital twin and AI-driven smart adaptive walls for energy, comfort and carbon optimization in intelligent green buildings",Energy,Article,mechanical,simulation,multiple,include,
2-s2.0-105034627643,10.1016/j.jweia.2026.106394,Cyber-physical smart morphing facades driven by reinforcement learning for wind-induced vibration control in tall buildings,Journal of Wind Engineering and Industrial Aerodynamics,Article,mechanical,experiment,energy,include,
2-s2.0-105025022388,10.1016/j.egyr.2025.12.042,"Impact of microalgae-integrated windows on building performance: Energy, daylight, and carbon analysis using an innovative simulation method",Energy Reports,Article,unclear,simulation,multiple,include,
2-s2.0-105024611275,10.1016/j.sftr.2025.101599,Multi-objective optimization framework to achieve near-zero energy building in the Czech Republic for future climatic conditions,Sustainable Futures,Article,mechanical,simulation,multiple,include,
2-s2.0-105039957234,10.1073/pnas.2535522123,Indoor thermoregulatory homeostasis using hydrodynamic instability,Proceedings of the National Academy of Sciences of the United States of America,Article,unclear,experiment,energy,include,
2-s2.0-105033708421,10.1016/j.buildenv.2026.114519,Segmented dynamic photovoltaic shading façade based on kiri-origami: Multi-objective decision-making and interpretable machine learning analysis,Building and Environment,Article,origami-deployable,simulation,multiple,include,
2-s2.0-105038219631,10.1093/jcde/qwag038,Predictive collective control of large-scale kinetic facades via graph neural networks and reinforcement learning: From simulation to physical validation,Journal of Computational Design and Engineering,Article,origami-deployable,experiment,multiple,include,
2-s2.0-105040227506,10.1117/12.3090546,Smart Adaptable Multistable Building Facades,Proceedings of SPIE the International Society for Optical Engineering,Conference Paper,material-driven,experiment,energy,include,
2-s2.0-105032533589,10.1016/j.jobe.2026.115816,Mimosa pudica-inspired phase change-driven reversible building facades for zero-energy thermal management,Journal of Building Engineering,Article,mechanical,experiment,energy,include,
2-s2.0-105028592145,10.1016/j.buildenv.2026.114295,From greenwashing to grounded practice: A context-specific biophilic design framework for hot arid climates,Building and Environment,Article,unclear,unclear,multiple,include,
2-s2.0-105034324352,10.3390/su18063052,Daylight Evaluation of Static and Kinetic Horizontal Shading Systems for Sustainable Visual Comfort: Experimental Illuminance Measurements and Calibrated Simulation,Sustainability Switzerland,Article,unclear,experiment,multiple,include,
2-s2.0-105030487037,10.1016/j.rineng.2026.109601,The FlectoLine module: Transferring glass fiber-reinforced polymer/elastomer hybrid composites to responsive architectural outdoor applications,Results in Engineering,Article,pneumatic-soft,prototype,multiple,include,
2-s2.0-105032754558,10.3390/buildings16051048,Optimizing Thermal–Daylight Performance of South-Facing High-Rise Apartment Rooms Using Slat-Based Shading Devices in Tropical Regions,Buildings,Article,mechanical,simulation,multiple,include,
2-s2.0-105021091145,10.1007/s00004-025-00848-6,"Geometric Feasibility of Kinetic Islamic Geometric Patterns: A Case Study of Ten-Point star Configurations in Five Mosques in Isfahan, Iran",Nexus Network Journal,Article,origami-deployable,case-study,none,include,
2-s2.0-105031454334,10.3390/machines14020210,Control Method and Simulation of Reconfigurable Façade Cable-Driven Parallel Robots Based on Heuristic Local Rules,Machines,Article,origami-deployable,simulation,none,include,
2-s2.0-105027156887,10.1016/j.jobe.2026.115230,Optimizing bio-based phase change materials in operable façade cavities to enhance cooling energy efficiency,Journal of Building Engineering,Article,origami-deployable,experiment,energy,include,
2-s2.0-105021344387,10.1016/j.jvscit.2025.102015,Laser fenestration and shape memory polymer embolization of type II endoleaks,Journal of Vascular Surgery Cases Innovations and Techniques,Article,material-driven,unclear,none,include,
2-s2.0-105023149306,10.1016/j.enbuild.2025.116753,Movement optimization of a movable façade using bimetal as actuators for enhanced indoor airflow,Energy and Buildings,Article,material-driven,experiment,multiple,include,
2-s2.0-105027260676,10.1007/s43995-025-00272-4,Harnessing wind energy through responsive kinetic façades for sustainable building design,Journal of Umm Al Qura University for Engineering and Architecture,Article,unclear,simulation,energy,include,
