eid,title,matched,author_keywords,abstract_head,mechanism_family,study_type,performance_reported,judged_on
2-s2.0-105037762368,"Comprehensive evaluation of building energy load, power generation, and shading effects of vertical single-axis tracking PV louver systems",tracking pv louver,Building-integrated photovoltaics; Dynamic shading; Energy use intensity; Vertical single-axis tracking PV; XGBoost surrogate model,"Vertical Building-Integrated Photovoltaics (BIPV) offer a promising pathway for decarbonizing high-rise buildings, yet optimizing the trade-off between power generation and thermal load management rem",mechanical,simulation,energy,abstract+keywords
2-s2.0-105010473513,Bio-adaptive reflective photovoltaic (BARP) facade system: a multimodal energy-saving solution based on light reflection,tracking façade,Adaptive building envelope; Bio-inspired façade; Building-integrated photovoltaics; Daylighting control; Solar tracking façade,"Buildings account for approximately 40% of global energy consumption, creating an urgent need for innovative solutions that enhance energy efficiency while maintaining occupant comfort. Traditional ph",unclear,experiment,multiple,abstract+keywords
2-s2.0-105018226817,"Simulation-based performance evaluation of kinetic Mashrabiya for thermal comfort and energy efficiency in arid climates: A case study in Biskra, Algeria",kinetic,adaptive facades; dynamic shading; Grasshopper; Mashrabiya; solar; thermal comfort,"In the hot, dry climate regions of Algeria, traditional buildings are constructed with cooling strategies to cope with harsh climatic conditions. The dominance of direct solar irradiance in these regi",unclear,simulation,multiple,abstract+keywords
2-s2.0-105007906071,"From Stasis to Motion: Enhancing Environmental Performance through Dynamic Architecture Techniques A Reimagining of Traditional MashRabiya in Contemporary Case Study Design Commercial Building Design in Egypt (Mokattam area, Cairo)",kinetic,commercial building; Energy Efficiency; Kinetic Architecture; Mashrabiya; sustainable design,"In the context of contemporary developments in Arab cities, there is an observable trend towards the excessive use of glass and concrete in buildings, accompanied by a heavy reliance on electrical air",unclear,case-study,multiple,abstract+keywords
2-s2.0-105009000892,Adaptive Façades for High-Rise Residential Buildings: A Qualitative Analysis of the Design Parameters and Methods,kinetic,adaptive façade; design framework; energy performance parameters; high-rise residential buildings; Kinetic façade; non-conventional façade,The design and construction of adaptive façades have garnered increasing attention as a means to enhance the energy performance and sustainability of high-rise residential buildings. Adaptive façades ,unclear,simulation,multiple,abstract+keywords
2-s2.0-85218080379,Designing Adaptability Strategy to a Novel Kinetic Adaptive Façade (NKAF); Toward a Pioneering Method in Dynamic-objects Daylight Simulation (Post-Processing),kinetic,Compu-lyzer Architecture; daylight performance; Dynamic-objects daylight simulation; Kinetic adaptive façade,"The design and evaluation of adaptive facades (AFs) have become increasingly complex due to advancements in morphology, control strategies, and adaptability techniques. This study introduces a Novel K",unclear,simulation,daylight,abstract+keywords
2-s2.0-85216662439,Advancing adaptive facades for a sustainable future in building design,kinetic,Adaptive façades; Kinetic energy; Quantum energy; Sustainability,"The essential need to mitigate carbon emissions has brought the energy performance of the building sector into focus. Conventional static façades, which are unable to adapt to dynamic external conditi",material-driven,unclear,multiple,abstract+keywords
2-s2.0-105017583949,Hygroflex: A Prototype of a Water-Responsive Facade System with an Innovative Integration of Timber and Biopolymer,kinetic,Animate Materials; Biomaterial; Biomimetic; Circular Ecology Manufacturing; Environmental Adaptability; Kinetic Facade; Programmable material; Robotic 3D printing,"This research presents a humidity-responsive facade fabricated using advanced techniques such as robotic 3D printing, CNC milled wood, and kerf application. Inspired by nature's adaptability, exemplif",unclear,experiment,none,abstract+keywords
2-s2.0-85211184888,Adaptive facades for emotionally enriching indoor environments,kinetic,Adaptive facades; Emotional design; Experiencing architecture; Kinetic architecture; PAD affection model; Regenerative design; Virtual reality,"Buildings are increasingly required to have a restorative effect as people spend a significant portion of their time indoors, inducing them stress. In this regard, the research investigates the emotio",unclear,experiment,daylight,abstract+keywords
2-s2.0-85205371333,Experimental Infrastructure Design for Energy-Independent Car Park Building Based on Parametric Photovoltaic Facade System,kinetic,car park building; energy-independent architecture; kinetic photovoltaic facade; parametric architectural design,"The purpose of this study is to develop a new architectural model that responds to environmental pollution. The subject of this study is infrastructure buildings related to automobiles, which cause en",mechanical,experiment,energy,abstract+keywords
